obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,CO2_hrs,AccH2O_des,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
11,1786209980,1200.9,20260809 01:26:20,01:26:20,15,,1786209972,2.76695E-05,0.027669543,0.215182104,410.6960852,49.27087624,5.02428569,41.87980042,0.000981093,1.393241079,0.000980709,0.000612978,287.4335123,31.26637987,28.08904,3.814582313,26.5419662,1.005540704,3.788493649,2.809041609,-1.220226857,-8.844236261,-1.384125106,275.984924,0.212696279,0.02630497,0.215182104,415.1336879,414.8008061,0.000604149,60.86975235,0.027669543,9.824453496,9.865926424,2.30856E-06,69.65,43,11,1.003329235,0.332923475,25917.7621,1500.015333,1261.228179,0.840810191,0.191620383,6,0.5,0: Broadleaf,2,TRUE,1786209972,410.7010667,411.0384667,9.860878667,9.821567333,424.3215333,11.05154667,396.1956,101.8727333,0.09999524,27.97129333,28.08904,999.9,0,0,5000.125333,0,8.31073,-0.337408333,414.7914,415.1157333,0.039310827,411.0384667,9.821567333,1.004554667,1.000549667,6.982598667,6.924382667,1500.015333,0.972996,0.0270044,0,2.615666667,0,144.7473333,12843.98667,39.687,41.937,40.812,40.29546667,39.66633333,1459.506,40.51,0,1786209977,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.30356135,-0.496126782,0.068846772,0,0.042821975,-0.051184913,0.006882135,1,1,2,1/2,2.97244,2.75939,0.0967418,0.0953266,0.0617581,0.0578062,32262.3,23236.8,33801.6,25955.1,40628.5,33147.7,49330.1,40514.3,1.72962,2.73733,0.137128,0,25.8446,999.9,53.479,27.009,18.7988,28.9999,-100,3,-0.0212043,0,20.2182,5.20441,11.9501,4.96975,3.294,7166.8,144.7,9999,9999,4.97377,1.87302,1.87081,1.87246,1.87301,1.87396,1.87337,1.87795,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,22.5,22.6,0.157471,4.99756,2.64526,2.74536,2.8479,2.27417,31.107,24.2101,2,338.548,1276.81,26.7742,27.1109,30.0001,27.0639,27.003,-1,40,10,-999.9,400,20,102.55,95.1216
12,1786210100,1320.9,20260809 01:28:20,01:28:20,15,,1786210092,2.36076E-05,0.023607571,0.247838958,410.6708587,-71.52729482,-7.293509823,41.87537009,0.000835886,1.392813315,0.000835607,0.000522279,287.42756,31.32165513,28.13858,3.825605451,26.66091696,1.013151525,3.800137582,2.812453926,-1.041093872,-8.608743843,-1.348370553,276.4293517,0.204272537,0.022927965,0.247838958,415.1248827,414.7498061,-0.000594216,60.86975235,0.023607571,9.902797368,9.938158242,1.08628E-06,69.65,43,11,1.003331417,0.333141703,25900.8407,1499.984,1261.20186,0.840810209,0.191620417,6,0.5,0: Broadleaf,2,TRUE,1786210092,410.6766,410.9989333,9.935955333,9.90172,424.297,11.12662,396.5030667,101.8682,0.100004467,28.02393333,28.13858,999.9,0,0,4998.25,0,8.051708667,-0.322359267,414.7980667,415.1094,0.03423532,410.9989333,9.90172,1.012158,1.008670667,7.092576,7.042226667,1499.984,0.972995067,0.027005207,0,2.612,0,144.916,12843.74,39.687,41.9958,40.8498,40.312,39.687,1459.474,40.51,0,1786210097,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.3073502,-0.462198316,0.047431663,0,0.033538635,0.008341033,0.002817827,1,1,2,1/2,2.97313,2.75955,0.0967202,0.0953176,0.0620857,0.0581686,32261,23236.3,33799.6,25954.4,40610.3,33133.4,49327.4,40513.8,1.73057,2.74175,0.138059,0,25.8846,999.9,53.443,27.13,18.9215,29.1799,-100,3,-0.0191387,0,20.2186,5.20486,11.9501,4.9697,3.294,7166.8,144.8,9999,9999,4.97377,1.87304,1.87087,1.87253,1.87302,1.87396,1.87342,1.87802,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,24.5,24.6,0.157471,4.99756,2.64526,2.74536,2.8479,2.24487,31.2156,24.2101,2,339.201,1284.2,26.8276,27.1436,30.0002,27.0997,27.0397,-1,40,10,-999.9,400,20,102.545,95.1198
13,1786210220,1440.9,20260809 01:30:20,01:30:20,15,,1786210212,1.97233E-05,0.0197233,0.191275757,410.6385652,-35.60991839,-3.631141119,41.87278844,0.000699236,1.392065891,0.000699041,0.000436918,287.43364,31.33232431,28.12970667,3.823629007,26.69392646,1.014827378,3.801716393,2.808801629,-0.869797529,-7.403339242,-1.160182896,278.0003203,0.180568065,0.018456826,0.191275757,414.9750217,414.6918061,-0.001415523,60.86975235,0.0197233,9.925696287,9.955207394,1.04957E-06,69.65,42,11,1.003256546,0.325654626,25878.19831,1500.016,1261.22874,0.840810191,0.191620383,6,0.5,0: Broadleaf,2,TRUE,1786210212,410.643,410.9265333,9.952221333,9.924688667,424.2631333,11.14288667,396.9080667,101.8699333,0.10000322,28.03106,28.12970667,999.9,0,0,4994.5,0,7.92289,-0.283518533,414.7708,415.0457333,0.027532947,410.9265333,9.924688667,1.013834,1.011028,7.116700667,7.076276667,1500.016,0.972995133,0.027005127,0,2.458,0,144.6683333,12843.99333,39.6912,42,40.875,40.3288,39.687,1459.506,40.51,0,1786210217,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.32073975,0.78039785,0.083851401,0,0.028231995,-0.00842931,0.002157037,1,1,2,1/2,2.97292,2.75946,0.0966977,0.0952782,0.0621587,0.0583069,32258.5,23234.8,33796.3,25951.8,40603.3,33125.6,49323.6,40511,1.73,2.73968,0.135396,0,25.9013,999.9,53.241,27.251,18.9833,26.54,-100,3,-0.0162348,0,20.2183,5.20351,11.9501,4.96965,3.294,7166.8,144.8,9999,9999,4.9738,1.87306,1.87088,1.87254,1.87302,1.87397,1.87344,1.878,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,26.5,26.6,0.157471,4.99756,2.64526,2.74536,2.8479,2.2522,31.3026,24.2013,2,339.113,1281.89,26.8695,27.1741,30.0002,27.1304,27.0715,-1,40,10,-999.9,400,20,102.536,95.1121
14,1786210340,1560.9,20260809 01:32:20,01:32:20,15,,1786210332,2.09777E-05,0.020977663,0.241462327,410.1756046,-116.9922115,-11.92953292,41.82503534,0.000742381,1.392655947,0.000742161,0.00046387,287.4308533,31.36873461,28.17843333,3.83449337,26.79365371,1.020904263,3.810246536,2.813589108,-0.925114957,-8.177307542,-1.281485589,277.0469452,0.083509978,0.01860648,0.241462327,414.4014365,414.1725636,-0.022511249,60.86975235,0.020977663,9.981037298,10.01251455,3.46978E-08,69.65,42,11,1.003254769,0.325476942,25892.27983,1500.001333,1261.21642,0.840810199,0.191620399,6,0.5,0: Broadleaf,2,TRUE,1786210332,410.1812,410.3189333,10.01194667,9.984118667,423.8014667,11.20264667,395.8566,101.8686,0.100007753,28.06952,28.17843333,999.9,0,0,4997.458667,0,7.9783,-0.137530593,414.3294667,414.4566667,0.027834833,410.3189333,9.984118667,1.019901333,1.017067333,7.203844667,7.163194667,1500.001333,0.9729944,0.02700576,0,2.04,0,145.6593333,12843.87333,39.7458,42,40.875,40.3498,39.687,1459.491333,40.51,0,1786210337,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.157704195,0.449032985,0.052877364,0,0.026381355,0.039161553,0.004404685,1,1,2,1/2,2.97224,2.7595,0.096594,0.0951359,0.0624182,0.0585339,32260.6,23238.2,33794.7,25951.6,40589.5,33117.1,49322.2,40511.3,1.72852,2.7385,0.135861,0,25.9409,999.9,53.15,27.362,19.076,26.54,-100,3,-0.0143369,0,20.2183,5.20456,11.9505,4.9697,3.294,7166.8,144.8,9999,9999,4.97378,1.87305,1.87087,1.8725,1.87302,1.87396,1.87345,1.87792,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,28.5,28.6,0.157471,4.99756,2.64526,2.74414,2.8479,2.26929,31.368,24.2101,2,338.601,1280.85,26.9084,27.2023,30.0003,27.1603,27.1012,-1,40,10,-999.9,400,20,102.532,95.1123
15,1786210460,1680.9,20260809 01:34:20,01:34:20,15,,1786210452,1.02677E-05,0.010267737,0.281619789,409.7368084,-822.9608016,-83.91232221,41.77837756,0.000362824,1.392915535,0.000362772,0.000226737,287.4326267,31.41696741,28.21898,3.843554394,26.87316909,1.026532119,3.819914634,2.817022276,-0.452807223,-7.957051609,-1.247258398,277.7755094,0.428094424,0.011296372,0.281619789,414.715585,414.0828788,0.03246911,60.86975235,0.010267737,10.05537329,10.07073455,1.0855E-06,69.65,42,11,1.003254256,0.325425622,25896.3498,1500.010667,1261.22426,0.840810194,0.191620388,6,0.5,0: Broadleaf,2,TRUE,1786210452,409.7433333,410.3955333,10.0676,10.05074667,423.3638667,11.25826,396.8118,101.8639333,0.100002313,28.11302,28.21898,999.9,0,0,4998.960667,0,7.974606,-0.652014133,413.9105333,414.5620667,0.01684144,410.3955333,10.05074667,1.025523333,1.023807333,7.284133333,7.259667333,1500.010667,0.9729942,0.02700594,0,2.681,0,144.8343333,12843.94667,39.75,42.00413333,40.875,40.375,39.7122,1459.500667,40.51,0,1786210457,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.57765195,-1.703860376,0.167817614,0,0.0175488,-0.020216003,0.00277501,1,1,2,1/2,2.973,2.75952,0.0965732,0.0952409,0.0626845,0.0588328,32259,23234.5,33792.3,25950.6,40574.2,33104.9,49319.3,40510.3,1.7298,2.7375,0.136551,0,25.9821,999.9,53.138,27.473,19.1953,26.4501,-100,3,-0.0128023,0,20.2186,5.20441,11.9502,4.96985,3.294,7166.8,144.9,9999,9999,4.97378,1.87305,1.87088,1.87254,1.87302,1.87397,1.87342,1.87793,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,30.5,30.6,0.157471,4.99756,2.64526,2.74414,2.8479,2.25952,31.4552,24.2101,2,339.338,1279.97,26.9471,27.2251,30.0001,27.1848,27.1264,-1,40,10,-999.9,400,20,102.526,95.1094
16,1786210580,1800.9,20260809 01:36:20,01:36:20,15,,1786210572,7.02452E-06,0.007024523,0.255909599,409.3838064,-1223.828404,-124.779658,41.74014199,0.000247924,1.393327181,0.0002479,0.000154939,287.4364267,31.4413281,28.24566,3.849526798,26.91494323,1.029543211,3.82517326,2.819983586,-0.309781455,-8.189261336,-1.283599275,277.6537846,0.258320271,0.007222878,0.255909599,413.9900001,413.5968182,0.000302955,60.86975235,0.007024523,10.09217269,10.10268485,1.7783E-06,69.65,42,11,1.003252961,0.32529611,25906.62662,1500.030667,1261.24106,0.840810183,0.191620367,6,0.5,0: Broadleaf,2,TRUE,1786210572,409.3897333,409.7839333,10.09767333,10.08688667,423.0100667,11.28832667,396.4074,101.8584667,0.0999922,28.13664,28.24566,999.9,0,0,5001.248,0,8.14451,-0.394187467,413.5658667,413.9595333,0.010792925,409.7839333,10.08688667,1.028533333,1.027434,7.326964,7.31133,1500.030667,0.972993867,0.027006227,0,2.460666667,0,145.975,12844.14667,39.78306667,42.0496,40.91633333,40.375,39.75,1459.520667,40.51,0,1786210577,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.397171714,0.007618208,0.02545984,1,0.01370657,-0.047474984,0.005191813,1,2,2,2/2,2.97251,2.7594,0.0964717,0.0950682,0.0628257,0.0590021,32261.5,23237.7,33791.3,25949.3,40566.5,33097.4,49318.5,40509.2,1.72868,2.73883,0.136942,0,26.0131,999.9,52.991,27.603,19.2889,26.3001,-100,3,-0.0111814,0,20.2185,5.20471,11.9503,4.96975,3.294,7166.8,144.9,9999,9999,4.97381,1.87303,1.87088,1.8725,1.87302,1.87396,1.87344,1.87792,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,32.5,32.6,0.157471,4.99756,2.64526,2.74414,2.8479,2.24365,31.5424,24.2101,2,338.954,1282.49,26.984,27.2482,30.0002,27.2088,27.1512,-1,40,10,-999.9,400,20,102.523,95.106
17,1786210700,1921,20260809 01:38:20,01:38:20,15,,1786210692,9.42955E-06,0.009429552,0.22374633,408.8506206,-662.3092552,-67.52631573,41.68472036,0.000332464,1.391764199,0.00033242,0.000207767,287.4344,31.48387512,28.27799375,3.85677566,26.9680659,1.034026866,3.834264089,2.822748794,-0.415843242,-7.547360915,-1.184746393,278.2864495,0.189210872,0.01461307,0.22374633,413.3079653,412.9668677,-0.000187275,60.86975235,0.009429552,10.12462444,10.13876459,-8.96319E-07,69.65,42,11,1.003259184,0.32591839,25857.32317,1500.02,1261.2321,0.840810189,0.191620378,6,0.5,0: Broadleaf,2,TRUE,1786210692,408.8558125,409.1504375,10.14190625,10.120075,422.4760625,11.33260625,396.241,101.855875,0.099994113,28.17740625,28.27799375,999.9,0,0,4993.71,0,5.052316875,-0.294591938,413.044875,413.333375,0.021856371,409.1504375,10.120075,1.033015,1.0307875,7.39052875,7.35897625,1500.02,0.972993625,0.027006438,0,2.92125,0,145.5621875,12844.025,39.812,42.062,40.937,40.425375,39.777125,1459.51,40.51,0,1786210697,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.280902714,-0.26779149,0.040035337,0,0.021752767,-0.011045475,0.006628434,1,1,2,1/2,2.97222,2.75946,0.0963546,0.0949539,0.0629907,0.0592177,32263.3,23239.6,33789,25948.3,40556.2,33088.4,49315.7,40508.3,1.72787,2.73708,0.137046,0,26.0461,999.9,52.924,27.714,19.3941,26.6029,-100,3,-0.00916921,0,20.2184,5.20501,11.9503,4.9697,3.294,7166.8,144.9,9999,9999,4.9738,1.87303,1.87087,1.87253,1.87302,1.87395,1.87343,1.87793,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,34.5,34.6,0.157471,4.99756,2.64526,2.74414,2.8479,2.2644,31.608,24.2013,2,338.715,1280.44,27.0192,27.2713,30.0003,27.2318,27.1746,-1,40,10,-999.9,400,20,102.517,95.1031
18,1786210820,2041,20260809 01:40:20,01:40:20,15,,1786210812,5.97E-06,0.005970001,0.238148252,408.4977411,-1382.796596,-140.9831316,41.64841812,0.000210134,1.391959645,0.000210116,0.000131324,287.4194533,31.52302901,28.31554667,3.865209544,27.01238898,1.038028415,3.842786419,2.827181129,-0.263277026,-7.504332841,-1.178270668,278.4735728,0.280643336,0.005334866,0.238148252,413.0843785,412.7181636,0.000424711,60.86975235,0.005970001,10.17325255,10.18218121,1.17499E-07,69.65,42,11,1.003258868,0.325886823,25859.81976,1499.941333,1261.16602,0.840810232,0.191620463,6,0.5,0: Broadleaf,2,TRUE,1786210812,408.5032667,408.9292667,10.18123333,10.17328,422.1235333,11.37188,397.0578,101.8550667,0.10000902,28.21554667,28.31554667,999.9,0,0,4994.708,0,5.185525333,-0.4260194,412.7050667,413.1321333,0.00795936,408.9292667,10.17328,1.037009333,1.036198,7.446983333,7.435540667,1499.941333,0.9729918,0.02700802,0,2.619,0,145.9746667,12843.35333,39.8456,42.1082,40.9664,40.437,39.812,1459.431333,40.51,0,1786210817,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.405898381,-0.139169922,0.050612368,0,0.005036486,0.044027314,0.00554678,1,1,2,1/2,2.97351,2.75948,0.0962997,0.0949097,0.0631857,0.0594103,32263.4,23240.1,33787.1,25947.6,40544.9,33080.6,49313.6,40507.8,1.73035,2.7363,0.135541,0,26.0923,999.9,52.814,27.815,19.4663,26.8129,-100,3,-0.00762195,0,20.2185,5.20336,11.9502,4.9696,3.294,7166.8,145,9999,9999,4.9738,1.87305,1.87088,1.87251,1.87302,1.87398,1.87347,1.87797,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,36.5,36.6,0.157471,4.99756,2.64526,2.74292,2.8479,2.23267,31.6736,24.2013,2,340.006,1279.84,27.057,27.2965,30.0001,27.2549,27.1975,-1,40,10,-999.9,400,20,102.512,95.1016
19,1786210940,2161,20260809 01:42:20,01:42:20,15,,1786210932,7.19659E-06,0.007196592,0.369077357,408.0787138,-1897.740346,-193.4764501,41.60401662,0.000252404,1.393201213,0.000252378,0.000157739,287.4249,31.5758306,28.37603333,3.878827868,27.02323315,1.041844336,3.855365235,2.836983532,-0.3173697,-7.836003456,-1.229964581,278.0415623,0.227225353,0.007438388,0.369077357,412.6069929,412.1831576,-0.022560608,60.86975235,0.007196592,10.20720876,10.21799879,-3.60536E-07,69.65,42,11,1.003254854,0.325485357,25891.61263,1499.97,1261.1901,0.840810216,0.191620432,6,0.5,0: Broadleaf,2,TRUE,1786210932,408.0872667,408.4348667,10.21907333,10.20796,421.7074667,11.40973333,396.1858667,101.8509333,0.100026647,28.27170667,28.37603333,999.9,0,0,5001,0,5.668653333,-0.347815,412.3006,412.6471333,0.011124362,408.4348667,10.20796,1.040820667,1.039686667,7.500682667,7.484739333,1499.97,0.9729918,0.02700802,0,1.967666667,0,147.3643333,12843.59333,39.875,42.125,41,40.4958,39.8288,1459.46,40.51,0,1786210937,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.356528238,0.079562727,0.026397513,1,0.01176194,-0.009098962,0.001547392,1,2,2,2/2,2.97258,2.75939,0.0962038,0.0947992,0.0633428,0.059547,32264.8,23241.3,33785.1,25945.9,40535.3,33073.6,49311.3,40505.8,1.72835,2.73627,0.136569,0,26.1466,999.9,52.716,27.926,19.5563,26.453,-100,3,-0.00579268,0,20.2185,5.20531,11.9501,4.9698,3.294,7166.8,145,9999,9999,4.97381,1.87306,1.87088,1.87253,1.87302,1.87397,1.87346,1.87794,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,38.5,38.6,0.157471,4.99756,2.64526,2.74414,2.8479,2.27905,31.7611,24.2013,2,339.202,1280.29,27.0966,27.3176,30.0001,27.2773,27.2196,-1,40,10,-999.9,400,20,102.507,95.0962
20,1786211060,2281,20260809 01:44:20,01:44:20,15,,1786211052,8.47463E-06,0.008474629,0.199793397,407.6514369,-664.4010884,-67.73333853,41.55862063,0.000296591,1.393351928,0.000296556,0.00018535,287.43478,31.61796091,28.41789333,3.888276963,27.04910534,1.045463659,3.865058181,2.842813304,-0.373731154,-7.738696448,-1.21507372,278.1072787,0.179191615,0.006487664,0.199793397,412.1015714,411.8102606,-0.002277636,60.86975235,0.008474629,10.24060581,10.25330545,-6.47766E-07,69.65,42,11,1.003254741,0.325474106,25892.50471,1500.022,1261.23378,0.840810188,0.191620376,6,0.5,0: Broadleaf,2,TRUE,1786211052,407.6560667,407.9304,10.25502667,10.24534,421.2763333,11.44568667,396.4265333,101.8464667,0.099992653,28.31487333,28.41789333,999.9,0,0,5001.958667,0,5.666252,-0.274294,411.88,412.1530667,0.009691173,407.9304,10.24534,1.044437333,1.04345,7.551489333,7.537643333,1500.022,0.972993,0.027006893,0,2.001666667,0,147.4383333,12844.04,39.937,42.187,41.062,40.5372,39.87913333,1459.512,40.51,0,1786211057,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.284234905,-0.028050935,0.040335229,1,0.007155281,0.05001994,0.005892784,1,2,2,2/2,2.97222,2.7594,0.0961218,0.094722,0.0634992,0.0596939,32266.5,23242.6,33783.9,25945.3,40526.6,33067.6,49310.2,40505.6,1.72717,2.7351,0.135519,0,26.2057,999.9,52.619,28.006,19.6128,26.3631,-100,3,-0.00401931,0,20.2183,5.20456,11.9503,4.96975,3.294,7166.8,145,9999,9999,4.9738,1.87306,1.87088,1.87252,1.87301,1.87394,1.87346,1.87797,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,40.5,40.6,0.157471,4.99756,2.64526,2.7417,2.8479,2.23999,31.8269,24.2013,2,338.792,1279.09,27.1391,27.3407,30.0002,27.301,27.2426,-1,40,10,-999.9,400,20,102.504,95.095
21,1786211180,2401,20260809 01:46:20,01:46:20,15,,1786211172,2.69325E-06,0.002693248,0.338938136,407.7423425,-5255.969763,-535.8141094,41.56684874,9.39087E-05,1.39309744,9.39052E-05,5.86911E-05,287.43212,31.66574697,28.47136,3.900375236,27.03237992,1.047528047,3.875086286,2.852847189,-0.118772235,-8.40621527,-1.32076799,277.5863645,0.354891726,0.002065555,0.338938136,412.5301762,412.0111636,3.97697E-05,60.86975235,0.002693248,10.27409696,10.2781297,7.22045E-07,69.65,42,11,1.003256154,0.325615379,25881.30734,1500.008,1261.22202,0.840810196,0.191620391,6,0.5,0: Broadleaf,2,TRUE,1786211172,407.7502,408.2873333,10.27553333,10.27244667,421.3706,11.4662,396.0828,101.8439333,0.09997684,28.35943333,28.47136,999.9,0,0,5000.834667,0,4.044738,-0.5370036,411.9835333,412.5249333,0.003090352,408.2873333,10.27244667,1.046502,1.046187333,7.580389333,7.575985333,1500.008,0.9729924,0.02700746,0,2.661,0,147.8023333,12843.91333,39.9412,42.2374,41.0956,40.5662,39.937,1459.498,40.51,0,1786211177,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.530071381,0.037192831,0.026876226,1,0.0024301,0.005971148,0.003947552,1,2,2,2/2,2.97225,2.75947,0.0961535,0.0947711,0.0636091,0.0597911,32263,23239.9,33781.5,25943.8,40518.9,33062.3,49307.5,40503.9,1.72705,2.73417,0.136923,0,26.2426,999.9,52.509,28.107,19.6876,26.3631,-100,3,-0.00195122,0,20.2185,5.20516,11.9502,4.96975,3.294,7166.8,145.1,9999,9999,4.97383,1.87304,1.87088,1.87255,1.87302,1.87397,1.87346,1.878,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,42.5,42.6,0.157471,4.99756,2.64526,2.74292,2.8479,2.26318,31.8927,24.2101,2,338.87,1278.28,27.1798,27.3662,30.0002,27.3244,27.2666,-1,40,10,-999.9,400,20,102.498,95.0905
22,1786211300,2521,20260809 01:48:20,01:48:20,15,,1786211292,-2.30095E-06,-0.002300945,0.309846569,407.4047518,6452.841473,657.8297491,41.5325507,-7.99137E-05,1.393439989,-7.99163E-05,-4.99474E-05,287.4356667,31.72060139,28.52648667,3.912883495,26.99044641,1.049143762,3.887093035,2.863739733,0.101471695,-8.551517057,-1.343991631,277.6416297,0.252433423,0.00130196,0.309846569,412.0465806,411.582903,-0.001480217,60.86975235,-0.002300945,10.2968059,10.29336182,5.98216E-07,69.65,42,11,1.003255463,0.325546329,25886.77906,1500.026667,1261.2377,0.840810186,0.191620371,6,0.5,0: Broadleaf,2,TRUE,1786211292,407.4119333,407.7928,10.29135333,10.28941333,421.0320667,11.48203333,397.2173333,101.8442,0.09999804,28.41265333,28.52648667,999.9,0,0,5002.502,0,5.604754667,-0.381014133,411.6482667,412.0322667,0.001940026,407.7928,10.28941333,1.048116,1.04792,7.602994,7.600228667,1500.026667,0.972993133,0.027006827,0,2.251333333,0,147.715,12844.09333,40,42.25,41.125,40.625,40,1459.516667,40.51,0,1786211297,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.352674286,-0.698320286,0.090956923,0,0.001435414,-0.020081846,0.005958416,1,1,2,1/2,2.97319,2.7594,0.0960671,0.0946873,0.0636782,0.0599232,32264.4,23241.4,33780,25943.2,40513.8,33056.7,49305.7,40503.5,1.72887,2.73292,0.135563,0,26.3055,999.9,52.32,28.218,19.7442,26.4531,-100,3,-0.000198171,0,20.2183,5.20516,11.9503,4.96985,3.294,7166.8,145.1,9999,9999,4.9738,1.87305,1.87088,1.87252,1.87302,1.87398,1.87346,1.87794,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,44.5,44.6,0.15625,4.99756,2.64526,2.7417,2.8479,2.2644,31.9805,24.2101,2,339.872,1277.04,27.2243,27.3941,30.0002,27.3499,27.2919,-1,40,10,-999.9,400,20,102.494,95.089
