obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,_Vc,Edyn,Hr,Hs,dHs/dt,_Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,_Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,_CO2,CO2_s_d,CO2_r_d,_H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,_CO2:MN,_CO2:SLP,_CO2:SD,_CO2:OK,F:MN,F:SLP,F:SD,F:OK,_H2O:MN,_H2O:SLP,_H2O:SD,_H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
32,1784735409,3964.4,20260722 10:50:09,10:50:09,15,1784735401,0.002493326,2.493326128,6.350102018,387.8071935,224.7295272,22.74262254,39.24607831,0.070588839,2.948693929,0.06966333,0.043621724,266.1514441,35.43245781,34.38820323,5.459802952,35.82814858,1.970719346,5.500477765,3.489083606,-109.9556823,21.22300608,1.671987092,179.090755,12.33045559,2.440750357,6.350102018,419.6091438,402.5325697,0.970456488,66.75339723,2.493326128,15.85124577,19.58117091,0.020004424,78.43,0,0,1,0,52148.98966,1500.00129,1273.861829,0.849240489,0.177434143,6,0.5,0: Broadleaf,2,TRUE,1784735401,387.8071935,408.9600968,19.47351613,15.66063871,429.8941935,24.3221,376.6006774,101.0999677,0.100007306,34.52170645,34.38820323,999.9,0,0,9999.548387,0,205.7841935,-21.15295484,395.5092903,415.4672903,3.812883226,408.9600968,15.66063871,1.968771613,1.583289355,17.19535161,13.79631613,1500.00129,0.691983774,0.308016226,0,2.658987097,0,15383.36774,13609.51613,47.11687097,48.87093548,47.937,47.5,46.893,1037.976452,462.0248387,0,1784735362,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-20.0201375,-19.61517861,2.293880552,0,2.702517647,-0.358548511,0.228124315,1,3.87352775,-1.54036334,0.15842015,0,1,3,1/3,2.9551,2.76456,0.104564,0.100442,0.116928,0.0857577,27642.3,18410,31647.5,22296,37635.5,27696,45450.1,32603.1,1.64142,2.64912,0.131853,0,32.2332,999.9,54,36,31.8812,61.7553,-99.972,3,0.349568,0,20.3081,5.21729,12.0312,4.9598,3.301,7702.5,9999,9999,124.9,4.97302,1.87546,1.88156,1.88111,1.8788,1.87454,1.87454,1.87685,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.319,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,66.6,66.6,0.155029,4.99878,2.89795,2.89673,2.99805,2.29248,38.6487,15.7169,2,394.743,1368.32,33.3291,31.9287,30.0004,31.6319,31.4822,-1,40,10,-999.9,400,20,99.4511,85.6624
33,1784735529,4084.4,20260722 10:52:09,10:52:09,15,1784735521,0.002265974,2.265973521,5.797658894,393.1086452,228.0793137,23.08147443,39.78233272,0.063680321,2.948347133,0.062925974,0.039395764,266.1522487,35.48678088,34.38868387,5.459948922,35.44433988,1.94914747,5.499178364,3.510801452,-99.92943227,20.46831152,1.612690876,188.3038188,4.038533165,2.283632524,5.797658894,410.0410304,399.8954,0.109476173,66.75339723,2.265973521,15.99546097,19.34905818,0.022464104,78.43,0,0,1,0,52139.8435,1500.005161,1273.865177,0.849240529,0.177434222,6,0.5,0: Broadleaf,2,TRUE,1784735521,393.1086452,400.968871,19.26047742,15.69417742,435.3639677,24.10905484,376.8020645,101.0993548,0.099978245,34.51745484,34.38868387,999.9,0,0,9997.639032,0,88.11723548,-7.860272581,400.8287419,407.3622581,3.56628871,400.968871,15.69417742,1.947221935,1.58667129,17.02156774,13.82878065,1500.005161,0.691982548,0.308017452,0,2.709754839,0,15149.51935,13609.53548,47.125,48.86280645,47.937,47.516,46.917,1037.977097,462.0280645,0,1784735482,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-6.976853659,-20.43651512,2.739498176,0,2.695861765,0.606036669,0.233503901,1,3.656281707,-1.992648293,0.218400817,0,1,3,1/3,2.95488,2.76455,0.103983,0.0973512,0.116146,0.0855691,27659.9,18473.8,31647.3,22296.8,37668.7,27702.9,45449.6,32604.6,1.64065,2.6455,0.141501,0,32.0909,999.9,53.9,36,31.8235,61.8454,-100,3,0.351684,0,20.3086,5.21684,12.0321,4.9597,3.301,7702.5,9999,9999,124.9,4.97309,1.87546,1.88157,1.8811,1.87881,1.87454,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.222,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,68.6,68.6,0.155029,4.99878,2.89795,2.89551,2.99805,2.2998,38.6241,15.6993,2,394.504,1363.53,33.3212,31.9688,30.0003,31.6649,31.5098,-1,40,10,-999.9,400,20,99.4502,85.6661
34,1784735649,4204.4,20260722 10:54:09,10:54:09,15,1784735641,0.002119126,2.119125573,5.534707353,396.3826452,229.4998494,23.22481725,40.11294352,0.059997151,2.94890733,0.059327172,0.037139054,266.1478889,35.42404385,34.30173226,5.433597361,35.67240504,1.95077396,5.468579865,3.482823401,-93.45343778,18.33877152,1.443310833,192.4765335,7.836747119,1.997361655,5.534707353,416.2153852,406.1594848,0.154093175,66.75339723,2.119125573,16.26739949,19.43009333,0.01847381,78.43,0,0,1,0,52172.75119,1499.996452,1273.856323,0.849239557,0.177432346,6,0.5,0: Broadleaf,2,TRUE,1784735641,396.3826452,410.1478387,19.27689355,16.15188065,438.7415806,24.12547419,376.0993226,101.0974839,0.100043345,34.41708387,34.30173226,999.9,0,0,10001.00645,0,75.61607419,-13.76509677,404.174129,416.8812258,3.125009032,410.1478387,16.15188065,1.948845161,1.632914516,17.03452903,14.27273226,1499.996452,0.692014065,0.307985935,0,2.665096774,0,15113.34516,13609.59677,47.062,48.776,47.937,47.433,46.85874194,1038.019677,461.9767742,0,1784735602,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-15.3696575,29.93405516,3.252671407,0,2.659788235,-0.336186398,0.241817717,1,3.09103425,0.691133021,0.128917731,0,1,3,1/3,2.95479,2.76441,0.105157,0.0998744,0.116409,0.0880317,27622.6,18416.5,31646.3,22290,37656.4,27618.1,45448.2,32592.6,1.64028,2.6465,0.147372,0,31.9259,999.9,54.5,36,32.1764,61.5454,-100,3,0.35529,0,20.3087,5.21684,12.0329,4.95975,3.301,7702.5,9999,9999,125,4.97302,1.87545,1.88157,1.88111,1.87877,1.87454,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.423,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,70.6,70.6,0.155029,4.99878,2.89795,2.88452,2.99805,2.323,38.575,15.6818,2,394.52,1365.87,33.263,32.0043,30.0002,31.705,31.5485,-1,40,10,-999.9,400,20,99.4471,85.6368
35,1784735769,4324.4,20260722 10:56:09,10:56:09,15,1784735761,0.002258527,2.258526649,5.20182715,391.334129,239.0248639,24.18968741,39.60362156,0.062750997,2.949277581,0.062018599,0.038826715,266.1491932,35.48326544,34.43449355,5.473876641,34.9809298,1.923115154,5.497610171,3.550761486,-99.60102522,12.37492921,0.974902027,179.8979992,-0.378628541,2.435152412,5.20182715,397.3789404,393.1864303,-0.603732563,66.75339723,2.258526649,15.19417771,18.86722424,-0.016602719,78.43,0,0,1,0,52167.20168,1500.000645,1273.860174,0.849239751,0.177432719,6,0.5,0: Broadleaf,2,TRUE,1784735761,391.334129,392.2506452,19.00282258,15.19064839,433.533129,23.85140645,375.9866452,101.1015806,0.099972242,34.51232258,34.43449355,999.9,0,0,10002.70484,0,65.98500645,-0.91651832,398.9149677,398.3013226,3.812176129,392.2506452,15.19064839,1.921214839,1.535798387,16.80940645,13.32912581,1500.000645,0.692007355,0.307992645,0,2.735780645,0,15076.45161,13609.60645,47.11280645,48.812,48,47.437,46.875,1038.012903,461.9877419,0,1784735722,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-0.771507373,-3.144595084,2.255642565,0,2.737170588,-0.310686021,0.21474915,1,3.6822725,1.660867767,0.259395618,0,1,3,1/3,2.9543,2.76445,0.102695,0.0952803,0.11444,0.0832181,27694.5,18520,31642,22301.7,37735.9,27780.9,45442.2,32612.7,1.63905,2.64272,0.141792,0,32.1189,999.9,52.7,36.1,31.2836,61.5754,-100,3,0.363438,0,20.3085,5.21579,12.0323,4.95965,3.301,7702.5,9999,9999,125,4.97308,1.87546,1.88157,1.88112,1.8788,1.87454,1.87454,1.87687,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.009,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,72.6,72.6,0.155029,4.99878,2.89795,2.89673,2.99805,2.28394,38.575,15.6468,2,394.222,1361.77,33.3075,32.0768,30.0004,31.7719,31.6173,-1,40,10,-999.9,400,20,99.4337,85.6865
36,1784735889,4444.4,20260722 10:58:09,10:58:09,15,1784735881,0.001933101,1.933101118,6.375690589,403.099,195.9728596,19.83285951,40.79445415,0.054192836,2.949339252,0.05364566,0.033577239,266.1504698,35.5058505,34.34504516,5.446709916,35.27840455,1.932892005,5.478966606,3.513817912,-85.24975931,16.88066529,1.328861446,199.1102372,5.324409603,2.183759163,6.375690589,429.1588765,412.0441333,0.965464676,66.75339723,1.933101118,15.76129378,18.97451576,-0.022621567,78.43,0,0,1,0,52179.33508,1500.005484,1273.8645,0.849239895,0.177432998,6,0.5,0: Broadleaf,2,TRUE,1784735881,403.099,413.0015484,19.09933226,15.68066129,445.6695484,23.94790323,375.9444839,101.1020968,0.099975552,34.45120968,34.34504516,999.9,0,0,10003.00419,0,66.93292903,-9.902688458,410.9478387,419.5808387,3.41866129,413.0015484,15.68066129,1.930981935,1.585346774,16.88937419,13.81548387,1500.005484,0.69200229,0.30799771,0,2.620035484,0,15062.77742,13609.62581,47.125,48.812,47.94309677,47.437,46.875,1038.009032,461.9964516,0,1784735842,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-6.478931663,-79.26968711,9.655684619,0,2.660473529,-0.471695958,0.209756397,1,3.440316829,0.320826899,0.205918717,0,1,3,1/3,2.95415,2.76455,0.106275,0.102349,0.11482,0.0871514,27585.5,18367.2,31643.9,22292.1,37722.4,27647.2,45445.4,32595.6,1.63813,2.64632,0.145003,0,32.0087,999.9,53.8,36.1,31.9372,61.6054,-99.98,3,0.363976,0,20.3086,5.21609,12.033,4.9597,3.301,7702.5,9999,9999,125,4.97307,1.87546,1.88157,1.88111,1.87881,1.87454,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.618,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,74.6,74.6,0.155029,4.99878,2.89795,2.88818,2.99805,2.30225,38.5504,15.6381,2,393.914,1367.83,33.2792,32.1146,30.0002,31.8072,31.6506,-1,40,10,-999.9,400,20,99.4404,85.6447
37,1784736009,4564.4,20260722 11:00:09,11:00:09,15,1784736001,0.001758769,1.758768597,5.666395647,378.3527419,174.8368691,17.69356278,38.28945249,0.048752788,2.948387984,0.048309326,0.030232835,266.1513814,35.31561594,34.11670323,5.377890211,33.74237019,1.824657098,5.407613891,3.553233114,-77.56169515,15.72562799,1.23553408,205.5508483,4.224523822,1.912352343,5.666395647,395.1339102,384.7072667,0.177623296,66.75339723,1.758768597,15.53771448,18.09235212,0.024340165,78.43,0,0,1,0,52192.25184,1500.008387,1273.867171,0.849240032,0.177433262,6,0.5,0: Broadleaf,2,TRUE,1784736001,378.3527419,386.2477742,18.03013548,15.03384194,420.1385161,22.83582903,376.0390645,101.1004194,0.099990323,34.21563548,34.11670323,999.9,0,0,9997.765806,0,67.98209355,-7.895072387,385.2997742,392.145129,2.996285806,386.2477742,15.03384194,1.822853871,1.519928065,15.98400645,13.16219677,1500.008387,0.69199971,0.30800029,0,2.713196774,0,15095.55806,13609.64516,46.96341935,48.61687097,47.875,47.125,46.74187097,1038.004194,462.0041935,0,1784735962,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-5.2011366,-63.13807963,6.163223706,0,2.705626471,-0.224411005,0.181560225,1,3.31264575,-7.101989381,0.713176752,0,1,3,1/3,2.95401,2.76446,0.101276,0.0963498,0.111765,0.0852985,27740,18495.1,31644.2,22298.2,37853.6,27712.4,45446,32606.4,1.6382,2.64748,0.148065,0,31.75,999.9,52.8,36.1,31.344,61.7254,-99.988,3,0.36436,0,20.3084,5.21684,12.0333,4.9598,3.301,7702.5,9999,9999,125.1,4.97304,1.87546,1.88156,1.88111,1.87881,1.87453,1.87454,1.87685,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.773,-4.8223,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-1.425233054,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,76.6,76.6,0.155029,4.99878,2.89917,2.89185,2.99805,2.27661,38.5014,15.603,2,394.032,1369.92,33.1447,32.1118,30.0002,31.8216,31.6694,-1,40,10,-999.9,400,20,99.4414,85.6712
38,1784736129,4684.4,20260722 11:02:09,11:02:09,15,1784736121,0.001710554,1.710554133,5.648793758,397.9574194,188.5152949,19.07818147,40.27420623,0.047343554,2.94883833,0.046925303,0.029365585,266.1516403,35.40845592,34.2268129,5.410981052,34.13695547,1.854303304,5.431952786,3.556677748,-75.43543725,11.04587817,0.86853068,202.6306119,9.403250773,1.660780718,5.648793758,422.6445981,409.5267091,0.562274842,66.75339723,1.710554133,15.72789154,18.37877394,0.003744353,78.43,0,0,1,0,52191.39886,1500.013871,1273.871458,0.849239786,0.177432786,6,0.5,0: Broadleaf,2,TRUE,1784736121,397.9574194,414.0314194,18.32273871,15.71882258,440.3659032,23.19457097,375.6689355,101.1023226,0.099977645,34.29629355,34.2268129,999.9,0,0,10000.13581,0,76.17047742,-16.07398839,405.3851613,420.6439032,2.603929355,414.0314194,15.71882258,1.852472258,1.589209032,16.23669032,13.85408065,1500.013871,0.692006419,0.307993581,0,2.72446129,0,15151.40323,13609.72581,46.99593548,48.44106452,47.762,47.125,46.687,1038.020323,461.9935484,0,1784736082,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-14.5339295,-35.22557944,4.251725508,0,2.705873529,0.529407185,0.21101693,1,2.562073,0.516153996,0.139963168,0,1,3,1/3,2.95359,2.76446,0.105867,0.10207,0.112927,0.0867313,27597.6,18374.8,31643.4,22294.4,37802.8,27663.1,45444.6,32599.3,1.6371,2.64293,0.14931,0,31.8309,999.9,53.5,36.1,31.7567,61.6355,-99.9559,3,0.365991,0,20.3085,5.21429,12.0323,4.9597,3.301,7702.5,9999,9999,125.1,4.97303,1.87546,1.88156,1.8811,1.87881,1.87454,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.551,-4.8857,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-1.425233054,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,78.6,78.6,0.155029,4.99878,2.89795,2.89185,2.99805,2.30713,38.4279,15.5768,2,393.527,1363.61,33.0986,32.1202,30.0001,31.838,31.6867,-1,40,10,-999.9,400,20,99.4386,85.6541
39,1784736766,5321.5,20260722 11:12:46,11:12:46,15,1784736758,0.005741559,5.741559411,7.180083789,401.6789667,333.6271486,33.76434246,40.65144652,0.226397663,2.94980552,0.217168385,0.136528103,266.1475159,33.92387842,33.54400667,5.208602202,49.7670615,2.636654395,5.297990912,2.571947807,-253.20277,48.40605568,3.783927484,65.13472906,6.80802986,5.930709155,7.180083789,423.3380802,412.1043212,-0.071032029,66.75285976,5.741559411,16.78986099,25.91679455,-0.016591403,78.43,0,0,1,0,52295.16215,1499.995,1273.85503,0.849239517,0.177432269,6,0.5,0: Broadleaf,2,TRUE,1784736758,401.6789667,416.4498667,26.05291333,16.76922333,443.4501667,30.69580667,373.3125667,101.1038333,0.099988353,33.84839,33.54400667,999.9,0,0,10005.482,0,55.18029667,-14.77102333,412.4238,423.5525333,9.283703667,416.4498667,16.76922333,2.634051667,1.695432667,21.87929333,14.85466,1499.995,0.692017033,0.307982967,0,2.830746667,0,20519.12333,13609.61,46.8645,48.38533333,47.68286667,46.9643,46.562,1038.020667,461.9743333,0,1784736719,0,1784736740,11:12:20,1784736735,1784736740,3,0.732,0.206,-42.266,-4.321,416,17,0.22,0.02,-14.87637317,2.604993031,0.902914722,0,2.80585,0.414904503,0.272085275,1,9.333130732,-1.113389268,0.115538487,0,1,3,1/3,2.95185,2.76441,0.10559,0.100972,0.136313,0.0897551,27604.4,18386.5,31641.4,22281.5,36796.3,27555,45438.4,32580,1.6511,2.6387,0.133716,0,31.3729,999.9,55.8,36.2,33.3051,61.6173,96.9231,3,0.373351,0,20.3085,5.21265,12.0335,4.9597,3.301,7702.5,9999,9999,125.3,4.97301,1.87546,1.88157,1.8811,1.8788,1.87454,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.765,-4.6429,-26.23001301,-0.03980678,1.13121E-05,-1.30028E-09,-4.642886953,0,0,0,3,2129,1,23,0.5,0.4,0.155029,4.99878,2.89795,2.89795,2.99805,2.27905,38.4769,15.4804,2,401.856,1360.1,32.8954,32.2196,30.0001,31.9683,31.8127,-1,40,10,-999.9,400,20,99.4281,85.604
40,1784737083,5638.5,20260722 11:18:03,11:18:03,15,1784737075,0.004442232,4.44223212,6.159517044,402.3970323,319.4190952,32.32219489,40.71877824,0.153379555,2.948878312,0.149081428,0.09355203,266.1490625,34.41132423,33.84130645,5.29589561,44.82603071,2.395273094,5.343486935,2.900622516,-195.9024365,25.48345671,1.997075396,97.72715809,10.42387501,4.612207183,6.159517044,426.3058331,415.6241333,0.087827176,66.7449684,4.44223212,16.11431337,23.43698,-0.042542667,78.43,0,0,1,0,52242.3878,1500.000645,1273.860106,0.849239706,0.177432632,6,0.5,0: Broadleaf,2,TRUE,1784737075,402.3970323,422.1240645,23.67091613,16.43697419,444.190871,28.3138,373.4919677,101.0905806,0.099972406,34.0016,33.84130645,999.9,0,0,10001.52452,0,62.63951613,-19.72700645,412.1527419,429.178129,7.233941613,422.1240645,16.43697419,2.392905161,1.661622581,20.31569355,14.53941935,1500.000645,0.692009806,0.307990194,0,2.762364516,0,17256.4,13609.62581,46.875,48.375,47.675,47,46.61280645,1038.015161,461.9854839,0,1784737036,0,1784736740,11:12:20,1784736735,1784736740,3,0.732,0.206,-42.266,-4.321,416,17,0.22,0.02,-19.70659268,6.279758885,3.746809629,0,2.729997059,0.485003829,0.245622467,1,7.090655122,2.92473993,0.336274713,0,1,3,1/3,2.9517,2.76452,0.106379,0.102106,0.128561,0.0874091,27575.9,18369,31637.1,22288.8,37124.2,27637,45432.9,32593.1,1.64915,2.6435,0.141203,0,31.5653,999.9,54.8,36.2,32.7125,61.2673,96.9231,3,0.380904,0,20.3085,5.21579,12.0338,4.9598,3.301,7702.5,9999,9999,125.3,4.97301,1.87544,1.88157,1.8811,1.8788,1.87454,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.909,-4.6429,-26.23001301,-0.03980678,1.13121E-05,-1.30028E-09,-4.642886953,0,0,0,3,2129,1,23,5.8,5.7,0.155029,4.99878,2.89795,2.89673,2.99805,2.28638,38.379,15.4192,2,401.172,1369.12,32.9414,32.288,30.0003,32.0378,31.8999,-1,40,10,-999.9,400,20,99.4154,85.6357
41,1784737203,5758.5,20260722 11:20:03,11:20:03,15,1784737195,0.003837271,3.837271393,6.804719024,413.2996452,307.5917097,31.12629365,41.82325373,0.126455382,2.94917303,0.123518519,0.077457259,266.1474735,34.65462564,34.0048871,5.344466757,43.20162796,2.319801817,5.369709259,3.02466494,-169.2236684,13.43565937,1.054108005,111.4135724,4.275531232,3.954116447,6.804719024,432.3540905,421.2101515,0.004560115,66.7449684,3.837271393,16.93825284,22.9039303,0.006557316,78.43,0,0,1,0,52235.90246,1499.996774,1273.856352,0.849239394,0.177432031,6,0.5,0: Broadleaf,2,TRUE,1784737195,413.2996452,422.7885806,22.92440645,16.72107742,455.4355161,27.5673,373.6836129,101.0935484,0.099990548,34.08939032,34.0048871,999.9,0,0,10002.90548,0,57.30305161,-9.489020968,422.9967742,429.9785806,6.20334,422.7885806,16.72107742,2.31751129,1.690392903,19.7986,14.80779355,1499.996774,0.692021194,0.307978806,0,2.743619355,0,16939.53548,13609.63871,46.891,48.35264516,47.641,47,46.625,1038.028065,461.9687097,0,1784737156,0,1784736740,11:12:20,1784736735,1784736740,3,0.732,0.206,-42.266,-4.321,416,17,0.22,0.02,-8.74371025,-22.40227013,2.635837766,0,2.719026471,0.106525595,0.196668666,1,6.28053225,-2.170961989,0.232545361,0,1,3,1/3,2.95234,2.76444,0.107349,0.101867,0.126929,0.089567,27544.6,18367.9,31635.7,22281.6,37193.4,27561.6,45431.7,32581.3,1.64942,2.64045,0.140943,0,31.7374,999.9,55.7,36.2,33.25,61.5673,96.9231,3,0.385239,0,20.3083,5.21639,12.0338,4.95965,3.301,7702.5,9999,9999,125.4,4.97303,1.87546,1.88157,1.8811,1.87881,1.87454,1.87454,1.87685,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.077,-4.6429,-26.23001301,-0.03980678,1.13121E-05,-1.30028E-09,-4.642886953,0,0,0,3,2129,1,23,7.8,7.7,0.155029,4.99878,2.89795,2.89795,2.99805,2.33154,38.3545,15.4104,2,401.598,1365.54,32.9889,32.3423,30,32.0878,31.9446,-1,40,10,-999.9,400,20,99.4121,85.6061
42,1784737323,5878.5,20260722 11:22:03,11:22:03,15,1784737315,0.00353138,3.531380201,6.313701626,380.6568065,267.5489348,27.07498603,38.52109419,0.107326741,2.948765143,0.105202857,0.065939107,266.1502315,34.9269918,34.26409032,5.422223935,39.65508072,2.152461227,5.427958253,3.269762708,-155.7338669,3.018451426,0.237372767,113.6721888,4.438400665,3.960266449,6.313701626,398.4676364,387.5350545,0.092503846,66.7449684,3.531380201,15.48951038,21.07773939,-0.005356632,78.43,0,0,1,0,52191.43634,1500.005161,1273.864132,0.849239833,0.177432877,6,0.5,0: Broadleaf,2,TRUE,1784737315,380.6568065,390.1920968,21.27013871,15.05424839,421.7610323,25.91303226,374.140871,101.0963548,0.100033968,34.28307742,34.26409032,999.9,0,0,10000.31032,0,55.26112258,-9.5353,388.929871,396.1572258,6.215897419,390.1920968,15.05424839,2.150335161,1.52193129,18.59638387,13.18667419,1500.005161,0.692005613,0.307994387,0,2.628470968,0,16757.97419,13609.65161,47.05,48.3506129,47.74593548,47.062,46.75,1038.011935,461.9932258,0,1784737276,0,1784736740,11:12:20,1784736735,1784736740,3,0.732,0.206,-42.266,-4.321,416,17,0.22,0.02,-6.227378988,-59.29842152,5.965456642,0,2.70565,-0.310244457,0.248987947,1,6.520004146,-5.683203345,0.593144082,0,1,3,1/3,2.95265,2.76446,0.101392,0.0972998,0.121042,0.0852657,27729.7,18473.6,31637.4,22296.5,37448,27712.5,45435,32605.7,1.65005,2.6378,0.140853,0,31.9763,999.9,53.1,36.2,31.6936,61.6574,96.9231,3,0.386395,0,20.3082,5.21624,12.0332,4.95965,3.301,7702.5,9999,9999,125.4,4.97303,1.87545,1.88159,1.8811,1.87881,1.87453,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.069,-4.6429,-26.23001301,-0.03980678,1.13121E-05,-1.30028E-09,-4.642886953,0,0,0,3,2129,1,23,9.8,9.7,0.155029,4.99878,2.89795,2.89185,2.99805,2.28394,38.3056,15.4016,2,402.011,1361.98,33.1118,32.3635,30.0002,32.1006,31.9615,-1,40,10,-999.9,400,20,99.4185,85.6675
