obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,CO2_hrs,AccH2O_hum,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
29,1786548897,3373,20260812 23:34:57,23:34:57,15,,1786548889,0.000318329,0.318329224,2.914855253,404.1794259,-72.48991467,-7.361789491,41.0468665,0.009995395,1.38804382,0.009955579,0.006225801,287.4271222,36.74758922,34.39586,5.462128675,44.74177861,2.339608364,5.229135803,3.122520311,-14.03831879,-58.48387312,-9.744994597,205.1599357,-1.14249177,0.313927179,2.914855253,410.329154,409.1143212,-0.527261677,60.8541089,0.318329224,22.59567175,23.03763576,-1.03181E-05,69.65,55,13,1.004365571,0.436557054,25307.1647,1499.988,1261.204621,0.840809807,0.191619614,6,0.5,0: Broadleaf,2,TRUE,1786548889,404.2485333,402.8125333,23.03760667,22.60376,418.4821333,23.37875333,422.2651333,101.4560667,0.099984607,33.61432667,34.39586,999.9,0,0,4995.082667,0,43.45744,1.435998333,413.7811333,412.1282,0.4338424,402.8125333,22.60376,2.337306,2.293288667,19.93582,19.62932,1499.988,0.973003867,0.02699572,0,2.865333333,0,19121.62667,12843.8,43.8246,45.812,44.75,44.5704,43.9412,1459.496667,40.49,0,1786548893,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,1.320447381,-5.602790338,5.141195531,0,0.423897333,0.157538338,0.018359656,0,0,2,0/2,2.997,2.75956,0.0940141,0.0927956,0.111513,0.106096,32122.2,23056,33567.4,25694.7,38040.9,31083.7,49039.3,40168.3,1.72062,2.68055,0.207555,0,31.0223,999.9,69.277,31.814,32.2631,29.2246,-100,3,0.204627,0,20.2445,5.20441,11.956,4.96965,3.294,9999,154,9999,7168.5,4.97362,1.87294,1.87073,1.87239,1.87286,1.87375,1.87328,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,56.6,56.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.26562,34.7379,15.4367,2,352.251,1262.68,31.5213,30.2883,30,30.162,30.0732,-1,40,10,-999.9,400,20,101.903,94.2537
30,1786549017,3493,20260812 23:36:57,23:36:57,15,,1786549009,0.00034038,0.340380352,2.074582501,378.4504712,53.65086935,5.448839083,38.43583046,0.010620366,1.389195231,0.010575465,0.006613684,287.4329899,36.77905644,34.4772,5.486888682,44.71476702,2.34408272,5.242301092,3.142805962,-15.01077351,-61.25704108,-10.20491573,200.9602596,-4.849587945,0.389376219,2.074582501,376.6576825,379.3077091,-0.988162854,60.8541089,0.340380352,22.50949376,23.02853697,-0.007050665,69.65,55,13,1.004360505,0.436050484,25336.43683,1500.018667,1261.230402,0.840809804,0.191619609,6,0.5,0: Broadleaf,2,TRUE,1786549009,378.4996,371.8446,23.08052667,22.54214667,392.7332667,23.42164667,422.0424667,101.4610667,0.09999188,33.65928667,34.4772,999.9,0,0,5000.5,0,43.91682667,6.65503,387.4422667,380.4201333,0.538363867,371.8446,22.54214667,2.341771333,2.287148667,19.96664,19.58616667,1500.018667,0.973003933,0.026995607,0,2.553666667,0,18896.83333,12844.06,43.812,45.812,44.75,44.6208,43.937,1459.526,40.49066667,0,1786549013,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,8.857259524,-49.85501065,6.080846472,0,0.51061281,0.350381922,0.049596646,0,0,2,0/2,2.99715,2.75947,0.088788,0.0893735,0.111461,0.105698,32307.5,23141.7,33567.5,25693.4,38042.7,31095.9,49039.9,40166.3,1.72095,2.67935,0.21195,0,31.0209,999.9,69.015,31.884,32.2669,29.0446,-100,3,0.204088,0,20.2442,5.20441,11.956,4.96955,3.294,9999,154,9999,7168.5,4.97361,1.87292,1.87074,1.87239,1.87286,1.87372,1.87326,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,58.6,58.8,0.155029,4.99756,2.64526,2.71851,2.8479,2.25586,34.8066,15.4367,2,352.47,1261.25,31.5493,30.2857,30,30.1725,30.0887,-1,40,10,-999.9,400,20,101.904,94.2489
31,1786549137,3613,20260812 23:38:57,23:38:57,15,,1786549129,0.000120136,0.120135965,2.372492254,409.0278063,-602.1677876,-61.15962495,41.54321725,0.003740387,1.389157146,0.003734801,0.002334752,287.4308377,36.92934853,34.51928667,5.499738184,44.90286362,2.359106346,5.253799326,3.140631838,-5.29799606,-61.47254919,-10.24516487,210.4151275,5.360236268,0.09816075,2.372492254,423.7300129,420.5438848,-0.046914184,60.8541089,0.120135965,23.14130839,23.26878545,0.006009396,69.65,55,13,1.004361286,0.436128567,25331.9204,1500.007333,1261.220882,0.840809811,0.191619622,6,0.5,0: Broadleaf,2,TRUE,1786549129,409.084,416.7346,23.22738,23.09156667,423.3175333,23.56854667,421.7015333,101.4657333,0.10001994,33.69847333,34.51928667,999.9,0,0,5000.082667,0,42.37049333,-7.650562933,418.8120667,426.5851333,0.135828873,416.7346,23.09156667,2.356786,2.343004667,20.06986,19.97512667,1500.007333,0.973003667,0.026995893,0,2.501666667,0,18644.34,12843.96667,43.8162,45.812,44.75,44.625,43.9412,1459.514,40.49066667,0,1786549133,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-9.139532571,47.38664945,6.763085782,0,0.178666862,-0.673321917,0.074345884,0,0,2,0/2,2.99689,2.75945,0.0958894,0.0949393,0.112403,0.108002,32054.6,22989.3,33566.2,25681,37998.8,31001,49038.4,40149.5,1.72053,2.67792,0.215713,0,31.0349,999.9,70.004,31.955,32.8605,29.1346,-100,3,0.205282,0,20.2442,5.20456,11.956,4.96975,3.294,9999,154,9999,7168.5,4.9736,1.87293,1.87073,1.87239,1.87285,1.87375,1.87324,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.233,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,60.6,60.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.24243,34.8755,15.4104,2,352.338,1259.5,31.574,30.2936,30.0002,30.1856,30.1043,-1,40,10,-999.9,400,20,101.9,94.2073
32,1786549257,3733,20260812 23:40:57,23:40:57,15,,1786549249,5.11135E-05,0.051113462,1.934290425,401.2042102,-1519.01625,-154.2816279,40.74902994,0.001588784,1.389710036,0.001587775,0.00099245,287.4301987,36.98888652,34.58519333,5.519912743,45.18557178,2.377401298,5.261416874,3.142511445,-2.254103679,-64.49289846,-10.74908887,209.9341077,5.326800515,0.051047811,1.934290425,420.3510011,414.4959515,0.527903296,60.8541089,0.051113462,23.35962564,23.42612,0.000702129,69.65,55,13,1.00435891,0.435890989,25345.66736,1500.003333,1261.217583,0.840809853,0.191619707,6,0.5,0: Broadleaf,2,TRUE,1786549249,401.25,408.835,23.40726667,23.33656,415.4838,23.74841333,421.1600667,101.4668,0.100005393,33.72439333,34.58519333,999.9,0,0,5002.75,0,44.00807333,-7.584746667,410.8674,418.6036667,0.070699813,408.835,23.33656,2.375062,2.367888,20.19472,20.14581333,1500.003333,0.973003333,0.026996327,0,2.736333333,0,18403.79333,12843.91333,43.875,45.812,44.812,44.65393333,44,1459.507333,40.49266667,0,1786549253,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-7.710345714,3.803581558,1.446896558,0,0.052018656,0.210190147,0.034796982,0,0,2,0/2,2.99613,2.75948,0.0948486,0.0948953,0.112967,0.108677,32089.3,22984,33564,25673.9,37970,30968.6,49035.3,40139.1,1.71885,2.68062,0.215881,0,31.0767,999.9,70.272,32.035,33.1349,28.9246,-100,3,0.20751,0,20.2438,5.20486,11.956,4.9698,3.294,9999,154.1,9999,7168.5,4.97363,1.87293,1.87074,1.87239,1.87286,1.87375,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,62.6,62.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.23877,34.9444,15.4016,2,351.653,1263.92,31.6042,30.3198,30.0001,30.2091,30.1251,-1,40,10,-999.9,400,20,101.894,94.1822
33,1786549377,3853,20260812 23:42:57,23:42:57,15,,1786549369,9.02631E-05,0.090263074,2.312768844,389.038667,-940.9693898,-95.56774245,39.51196238,0.002754891,1.389215268,0.00275186,0.001720185,287.4306187,37.08018545,34.73965333,5.567446438,44.69603313,2.366216465,5.294018953,3.201229973,-3.980601574,-67.75734512,-11.31182936,204.3808427,10.93353569,0.125622087,2.312768844,422.1881272,408.8054424,1.749689607,60.8541089,0.090263074,23.19580808,23.31540909,0.000856368,69.65,54,13,1.004283262,0.428326161,25322.43002,1500.005333,1261.219283,0.840809866,0.191619731,6,0.5,0: Broadleaf,2,TRUE,1786549369,389.0934667,404.6258667,23.298,23.12449333,403.3272,23.63914667,422.4376,101.4630667,0.100005933,33.83496,34.73965333,999.9,0,0,5000.5,0,41.92964667,-15.53231933,398.3749333,414.2047333,0.173499653,404.6258667,23.12449333,2.363886,2.346282667,20.11846667,19.99766,1500.005333,0.973003333,0.02699632,0,2.965666667,0,18154.78,12843.94667,43.875,45.8414,44.812,44.687,44,1459.508667,40.49333333,0,1786549373,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-11.70628529,-66.28362483,7.425446813,0,0.214911181,-0.825351662,0.08378473,0,0,2,0/2,2.99731,2.75942,0.094048,0.0958259,0.112544,0.108068,32115.7,22960.4,33562.2,25674.1,37988.6,30990.3,49033.1,40138.8,1.7216,2.67858,0.223238,0,31.149,999.9,69.521,32.106,32.9162,28.6846,-100,3,0.209375,0,20.2442,5.20501,11.956,4.96975,3.294,9999,154.1,9999,7168.5,4.97359,1.8729,1.87073,1.87237,1.87286,1.8737,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,64.6,64.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.22778,35.0134,15.3666,2,353.127,1261.42,31.64,30.3435,30.0002,30.231,30.1487,-1,40,10,-999.9,400,20,101.889,94.182
34,1786549497,3973.1,20260812 23:44:57,23:44:57,15,,1786549489,0.000182214,0.182213577,2.170064026,370.7440135,-271.4176182,-27.56417394,37.65139693,0.00543957,1.387322612,0.005427749,0.003393403,287.4319988,37.15744945,34.91855,5.622944647,44.04357991,2.347408913,5.329741402,3.275535733,-8.035618725,-72.03486492,-12.05996134,195.3015538,-0.293965134,0.218255041,2.170064026,378.1177567,376.7056061,-0.304544597,60.8541089,0.182213577,22.84213726,23.09699818,-0.000276422,69.65,54,13,1.004294188,0.4294188,25258.27288,1500.011875,1261.224846,0.840809908,0.191619816,6,0.5,0: Broadleaf,2,TRUE,1786549489,370.7955625,370.4945,23.11435625,22.8125875,385.0293125,23.45549375,422.0655625,101.4563125,0.100005488,33.95543125,34.91855,999.9,0,0,4991.52375,0,83.5115375,0.30112975,379.569125,379.14375,0.301765938,370.4945,22.8125875,2.3450975,2.3144825,19.9895625,19.77753125,1500.011875,0.973003,0.026996606,0,2.8709375,0,17907.70625,12844,43.937,45.937,44.9215,44.687,44.062,1459.513125,40.495625,0,1786549493,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,0.51286255,-25.32137535,4.290098441,0,0.2873255,-0.008473624,0.048523172,1,1,2,1/2,2.99746,2.75955,0.0884969,0.0874799,0.111703,0.10688,32308.5,23173.9,33558.3,25676.2,38024.1,31033.2,49028.1,40141.1,1.72165,2.67537,0.220604,0,31.359,999.9,68.203,32.176,32.4195,29.1155,-100,3,0.213321,0,20.2442,5.20516,11.956,4.9698,3.294,9999,154.1,9999,7168.5,4.97359,1.87294,1.87075,1.87238,1.87286,1.87372,1.87323,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,66.6,66.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.24731,35.0825,15.3579,2,353.371,1257.53,31.7167,30.3853,30.0003,30.2691,30.1849,-1,40,10,-999.9,400,20,101.878,94.1884
35,1786549617,4093.1,20260812 23:46:57,23:46:57,15,,1786549609,-1.56859E-05,-0.015685855,2.387625496,427.4657623,8386.518205,851.705631,43.41193663,-0.000466011,1.387625017,-0.000466098,-0.000291303,287.4226366,37.29325158,34.96045333,5.636013393,44.05258065,2.352697686,5.34065803,3.283315707,0.691746221,-72.44166547,-12.13007383,203.5426435,11.74363458,-0.077576074,2.387625496,468.9747127,451.7650303,2.407024142,60.86270729,-0.015685855,23.33965874,23.24416848,0.011289632,69.65,54,13,1.004293219,0.429321888,25263.95013,1499.963333,1261.184002,0.840809888,0.191619775,6,0.5,0: Broadleaf,2,TRUE,1786549609,427.5224667,444.0447333,23.16638667,23.27329333,441.7562,23.50754667,423.4382667,101.4565333,0.099989907,33.99210667,34.96045333,999.9,0,0,4993,0,40.1061,-16.52232451,437.6619333,454.6258667,-0.106912153,444.0447333,23.27329333,2.350385333,2.361233333,20.02590667,20.10028667,1499.963333,0.9730026,0.0269971,0,2.362,0,17638.2,12843.56,44,46,45,44.64153333,44.125,1459.468,40.49333333,0,1786549613,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-17.74454839,36.30734206,9.042196454,0,-0.090593945,-0.306723686,0.032522042,0,0,2,0/2,2.99803,2.75946,0.100841,0.0992427,0.11227,0.108456,31865.3,22868.7,33552.5,25669,37995.5,30970.5,49020.3,40131,1.72195,2.67668,0.214919,0,31.4805,999.9,68.417,32.257,32.6703,28.7555,-100,3,0.219339,0,20.2446,5.20516,11.956,4.9697,3.294,9999,154.2,9999,7168.5,4.97365,1.8729,1.87075,1.8724,1.87286,1.87374,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.233,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,68.6,68.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.25708,35.1286,15.3491,2,353.864,1260.66,31.7746,30.4526,30.0003,30.3289,30.2413,-1,40,10,-999.9,400,20,101.861,94.1635
36,1786549737,4213.1,20260812 23:48:57,23:48:57,15,,1786549729,9.57076E-05,0.095707629,1.90222479,384.2472414,-688.4705061,-69.91986005,39.02347756,0.002818246,1.388328531,0.002815072,0.001759705,287.4290977,37.35923496,35.13182667,5.689736199,44.14487491,2.374006027,5.377761363,3.315730172,-4.220706425,-76.01169693,-12.73976529,194.456929,4.161603902,0.112118333,1.90222479,402.4069219,396.3517758,0.578946825,60.86270729,0.095707629,23.23628658,23.36868545,-2.38126E-05,69.65,54,13,1.00429152,0.429151999,25273.90861,1499.997333,1261.212562,0.84080987,0.191619739,6,0.5,0: Broadleaf,2,TRUE,1786549729,384.2924,390.2160667,23.37580667,23.22156667,398.5259333,23.71694667,424.086,101.4582667,0.099983733,34.11627333,35.13182667,999.9,0,0,4996.374667,0,108.3930467,-5.9237686,393.4906,399.493,0.154235333,390.2160667,23.22156667,2.371664,2.356016667,20.17159333,20.0646,1499.997333,0.973003067,0.026996573,0,1.982333333,0,17387.04667,12843.89333,44.083,46.125,45.062,44.75,44.187,1459.501333,40.49333333,0,1786549733,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-4.231601075,-43.0798078,4.187887846,0,0.1694231,-0.331622165,0.032524318,0,0,2,0/2,2.99864,2.75948,0.0918386,0.0923535,0.112683,0.108118,32179.4,23041.8,33547.8,25667.4,37970.6,30979.2,49014.1,40128.3,1.7232,2.6742,0.218377,0,31.6261,999.9,68.404,32.317,32.7748,29.2955,-100,3,0.224035,0,20.2447,5.20381,11.956,4.96965,3.294,9999,154.2,9999,7168.5,4.97363,1.87294,1.87075,1.8724,1.87286,1.87376,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.233,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,70.6,70.8,0.155029,4.99756,2.64526,2.72095,2.8479,2.25098,35.1978,15.3404,2,354.815,1258.27,31.8456,30.5154,30.0002,30.3867,30.298,-1,40,10,-999.9,400,20,101.848,94.1575
37,1786549857,4333.1,20260812 23:50:57,23:50:57,15,,1786549849,1.47694E-05,0.014769368,1.337185681,407.123285,-4426.666998,-449.5856051,41.34866448,0.000432852,1.387579782,0.000432777,0.000270492,287.4288944,37.49509243,35.23594667,5.722593025,44.30415548,2.395068955,5.405969099,3.327524071,-0.651329148,-76.73523215,-12.88040117,197.1619319,-2.235885317,0.020086778,1.337185681,410.6976193,412.5041576,-0.657429743,60.86270729,0.014769368,23.56445109,23.58469818,2.00998E-05,69.65,54,13,1.004296547,0.429654704,25244.46401,1499.997333,1261.212461,0.840809802,0.191619604,6,0.5,0: Broadleaf,2,TRUE,1786549849,407.1550667,404.0206667,23.5821,23.55450667,421.3887333,23.92325333,424.6059333,101.463,0.100005607,34.21017333,35.23594667,999.9,0,0,4992.459333,0,414.569,3.134468,416.9888,413.7668,0.027586369,404.0206667,23.55450667,2.39271,2.389910667,20.31452667,20.29556667,1499.997333,0.973004133,0.026995453,0,2.897,0,17126.27333,12843.88,44.1996,46.3624,45.1746,44.937,44.312,1459.506667,40.49,0,1786549853,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,1.4581142,20.92153805,3.973500534,0,0.032153132,-0.110390892,0.012223071,0,0,2,0/2,2.99939,2.75945,0.0944143,0.0934068,0.113473,0.109222,32083.8,23009.4,33543.5,25661.3,37931,30933.1,49008.5,40120,1.72435,2.67073,0.213888,0,31.759,999.9,68.911,32.388,33.1485,28.9055,-100,3,0.228227,0,20.2445,5.20187,11.956,4.9696,3.294,9999,154.2,9999,7168.5,4.97362,1.87296,1.87073,1.87238,1.87286,1.87372,1.87322,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,72.6,72.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.24609,35.244,15.3141,2,355.723,1254.44,31.928,30.577,30.0001,30.4454,30.3557,-1,40,10,-999.9,400,20,101.835,94.1368
38,1786549977,4453.1,20260812 23:52:57,23:52:57,15,,1786549969,-3.27576E-05,-0.032757585,0.184629581,444.1612856,723.4462953,73.47584559,45.11064089,-0.00094786,1.389373736,-0.000948219,-0.000592605,287.4300333,37.64465945,35.39526,5.773186199,44.18226722,2.4058018,5.445175069,3.367384399,1.44460951,-79.0446054,-13.26959528,196.5604422,-9.010523383,-0.052980238,0.184629581,432.9413081,443.3641939,-1.881914565,60.86270729,-0.032757585,23.76253082,23.71091091,0.000999645,69.65,54,13,1.004289569,0.428956922,25285.35334,1500.003333,1261.2175,0.840809798,0.191619596,6,0.5,0: Broadleaf,2,TRUE,1786549969,444.1656667,431.4738,23.68762667,23.76028667,458.3993333,24.02878667,425.2598667,101.4636667,0.099982307,34.33998,35.39526,999.9,0,0,5001.25,0,93.68802,12.69197467,454.9420667,441.9752,-0.0726552,431.4738,23.76028667,2.403436667,2.410808,20.38695333,20.43655333,1500.003333,0.9730054,0.02699416,0,2.430333333,0,16863.49333,12843.95333,44.375,46.75,45.3246,45.30786667,44.5,1459.513333,40.49,0,1786549973,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,3.251996,151.1826641,17.57882997,0,-0.085214,0.259022698,0.025966678,0,0,2,0/2,2.99974,2.75943,0.0992922,0.0962173,0.11392,0.109766,31908.2,22934.7,33540.8,25657.8,37910,30909.8,49005.3,40114.8,1.7247,2.6697,0.214353,0,31.9374,999.9,68.899,32.458,33.2743,29.2655,-100,3,0.232541,0,20.2445,5.20366,11.956,4.96965,3.294,9999,154.3,9999,7168.5,4.9736,1.87296,1.87073,1.87239,1.87286,1.87369,1.87324,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.233,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,74.6,74.8,0.155029,4.99756,2.64526,2.71973,2.8479,2.22778,35.2902,15.2791,2,356.249,1254.27,32.0328,30.6399,30.0002,30.5063,30.4168,-1,40,10,-999.9,400,20,101.828,94.1245
39,1786550412,4888.1,20260813 00:00:12,00:00:12,15,,1786550404,0.001434262,1.434262478,2.914403486,319.9107606,196.6723363,19.97119025,32.48549738,0.043278667,1.388858248,0.042543172,0.026654523,287.4281688,37.10219566,35.36533125,5.763652178,45.03252317,2.479183821,5.505318482,3.284468357,-63.25097527,-61.98198904,-10.41756629,151.7776382,1.595869179,1.531839141,2.914403486,329.755086,326.4298121,-0.150099786,60.84136027,1.434262478,22.30577084,24.33395818,-0.011009323,69.65,47,11,1.00373594,0.373593983,25255.00479,1499.993125,1261.208963,0.840809829,0.191619657,6,0.5,0: Broadleaf,2,TRUE,1786550404,319.98,322.8894375,24.4145125,22.3322,334.2883125,24.22300625,428.966875,101.4455,0.099997619,34.5375375,35.36533125,999.9,0,0,4999.609375,0,561.8966875,-2.90955625,327.98775,330.265125,2.08232875,322.8894375,22.3322,2.47674375,2.265500625,20.8744375,19.43314375,1499.993125,0.973006875,0.026992656,0,2.985,0,22930.5375,12843.8375,44.726375,47.062,45.812,45.375,44.812,1459.501875,40.49125,0,1786550408,0,1786550384,23:59:44,1786550369,1786550384,2,-0.075,0.533,-14.308,0.192,330,22,0.48,0.27,-3.306218095,-0.727111948,1.419689791,0,2.070595238,0.082633247,0.040363018,1,1,2,1/2,3.0037,2.7595,0.079067,0.0785208,0.11411,0.105041,32597.7,23389.6,33514.9,25666,37876.2,31079.9,48970.2,40121.7,1.7433,2.66412,0.191331,0,32.3071,999.9,63.484,32.791,31.2493,28.8755,-100,3,0.261631,0,20.2438,5.20456,11.956,4.96935,3.294,9999,154.4,9999,7168.5,4.97367,1.873,1.87075,1.8724,1.87286,1.8737,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.309,0.1915,-14.3083,0,0,0,0.191509091,0,0,0,-1,-1,-1,-1,0.7,0.5,0.15625,4.99756,2.64526,2.71851,2.8479,2.2522,35.8477,15.2353,2,367.332,1252.54,32.3788,30.9508,30.0011,30.8053,30.7138,-1,40,10,-999.9,400,20,101.753,94.1459
40,1786550537,5013.1,20260813 00:02:17,00:02:17,15,,1786550529,0.001203518,1.203518466,2.187435583,336.209767,218.2121798,22.16224049,34.14640611,0.0345897,1.387252158,0.034117614,0.021365387,287.429375,37.47511208,35.855925,5.921672818,44.54547745,2.487302229,5.583736827,3.434370589,-53.07516436,-79.54615301,-13.43379742,141.3742602,0.013930627,1.185949817,2.187435583,341.8119069,341.652903,-0.528607396,60.84136027,1.203518466,22.78715244,24.45822485,-0.006164561,69.65,46,11,1.003666022,0.366602187,25187.32217,1499.99375,1261.210031,0.840810191,0.191620382,6,0.5,0: Broadleaf,2,TRUE,1786550529,336.261875,336.835375,24.4902875,22.88851875,350.5703125,24.29876875,431.737875,101.46275,0.100052356,34.792325,35.855925,999.9,0,0,4990.860625,0,88.41245625,-0.573525813,344.7039375,344.7261875,1.6017575,336.835375,22.88851875,2.48484875,2.32233,20.9276,19.832025,1499.99375,0.972995875,0.027003919,0,1.83375,0,18433.9875,12843.81875,44.812,47,45.875,45.5,44.937,1459.484375,40.509375,0,1786550533,0,1786550384,23:59:44,1786550369,1786550384,2,-0.075,0.533,-14.308,0.192,330,22,0.48,0.27,-2.913474905,38.60359527,4.010498243,0,1.550651429,0.939917143,0.099463378,0,0,2,0/2,3.00722,2.75945,0.0817139,0.0795979,0.114517,0.106283,32481.1,23346.8,33492.6,25650.2,37841.4,31017.1,48941.3,40099.3,1.751,2.6565,0.203568,0,32.5863,999.9,63.96,32.962,31.7804,28.8055,-100,3,0.28232,0,20.2439,5.20411,11.956,4.9691,3.294,9999,154.4,9999,7168.5,4.97363,1.87302,1.87083,1.87241,1.87286,1.87369,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.308,0.1915,-14.3083,0,0,0,0.191509091,0,0,0,-1,-1,-1,-1,2.8,2.5,0.15625,4.99756,2.64526,2.71973,2.8479,2.25952,36.2224,15.2353,2,372.662,1246.11,32.526,31.2146,30.0005,31.0378,30.9315,-1,40,10,-999.9,400,20,101.69,94.0913
