obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_hum,AccCO2_soda,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
29,1786461765,3371,20260811 23:22:45,23:22:45,15,,1786461757,-0.000705127,-0.705126915,-0.039895845,194.2143553,177.4640861,18.07150405,19.77721569,-0.016237352,1.392518372,-0.016343279,-0.010204975,287.4282989,41.73013209,39.23740667,7.116899983,43.89884978,2.940345709,6.698001711,4.176554273,31.09609695,-84.44461907,-14.67538642,219.4043904,-0.287216242,-0.694124024,-0.039895845,200.255613,199.995297,0.062158239,60.77809875,-0.705126915,29.73850569,28.8748697,2.26082E-06,69.65,48,10,1.003845878,0.384587794,25057.79067,1499.994,1261.209679,0.840809816,0.191619632,6,0.5,0: Broadleaf,2,TRUE,1786461757,194.2134,193.6825333,28.87450667,29.7213,206.5160667,29.31469333,475.7398667,101.7318667,0.100027587,38.11258,39.23740667,999.9,0,0,5003.5,0,27.94436,0.530943527,199.9878667,199.6152667,-0.846793733,193.6825333,29.7213,2.937456667,3.023603333,23.67758,24.15846,1499.994,0.9730054,0.026994967,0,2.537,0,12460.97333,12843.86,47.9706,49.89153333,48.937,48.4246,48.00413333,1459.504,40.49066667,0,1786461762,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,1.946946805,-25.15316662,2.648551921,0,-0.838967476,-0.183384234,0.019544283,0,0,2,0/2,3.04861,2.75934,0.0525238,0.0503596,0.131418,0.127002,33223.7,23933.1,33223.7,25504.5,36902.8,30111.8,48574.5,39887.8,1.78988,2.55385,0.287969,0,34.6413,999.9,65.224,36.447,39.22,28.9555,-100,3,0.62091,0,20.2455,5.20516,11.9577,4.96945,3.29468,148.3,9999,7167.5,9999,4.97376,1.8731,1.87101,1.87241,1.8729,1.87365,1.87332,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,56.6,56.6,0.155029,4.99756,2.64526,2.69775,2.8479,2.26562,39.7422,15.4104,2,419.878,1183.88,36.0783,35.3153,30,35.2116,35.1169,-1,40,10,-999.9,400,20,100.905,93.5801
30,1786461885,3491,20260811 23:24:45,23:24:45,15,,1786461877,-0.000740671,-0.740670798,0.610761721,215.422822,256.3529094,26.10423854,21.93635619,-0.016946709,1.391389726,-0.017062223,-0.010653446,287.4332733,41.7828898,39.28948,7.136830767,43.74235539,2.935032161,6.709817372,4.201798606,32.66358217,-85.84042211,-14.9361432,219.3202902,4.411073975,-0.745359317,0.610761721,228.6079827,225.3647091,0.487509124,60.78175561,-0.740670798,29.73516211,28.82762424,2.17342E-06,69.65,48,10,1.003851216,0.385121608,25023.19129,1500.019333,1261.23104,0.840809856,0.191619712,6,0.5,0: Broadleaf,2,TRUE,1786461877,215.4374667,220.7787333,28.82306,29.73272667,227.7401333,29.26323333,475.5695333,101.7293333,0.09997142,38.14513333,39.28948,999.9,0,0,4998.083333,0,21.18646,-5.3412542,221.8314,227.5442667,-0.909673733,220.7787333,29.73272667,2.932154,3.024694,23.64756667,24.16448,1500.019333,0.973004333,0.026995993,0,2.046333333,0,12237.28,12844.06,47.9958,49.937,48.9958,48.5,48.0914,1459.526,40.49333333,0,1786461882,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-4.93256315,-1.276021218,2.494418758,0,-0.90506995,-0.056668827,0.007463422,1,1,2,1/2,3.04798,2.75944,0.0581754,0.0575443,0.131265,0.127047,33029.2,23754.3,33226.9,25506.4,36913.2,30113.6,48579.5,39890.7,1.78905,2.55512,0.272699,0,34.8814,999.9,64.736,36.547,39.1391,28.8655,-100,3,0.616527,0,20.2456,5.20501,11.9574,4.9679,3.29458,148.4,9999,7167.5,9999,4.97378,1.87306,1.87101,1.87241,1.87288,1.87363,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.302,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,58.6,58.6,0.153809,4.99756,2.64526,2.69653,2.8479,2.26807,39.7925,15.3929,2,419.118,1184.81,36.1015,35.2715,30,35.1671,35.0714,-1,40,10,-999.9,400,20,100.916,93.587
31,1786462005,3611,20260811 23:26:45,23:26:45,15,,1786461997,-0.000804649,-0.804649022,-0.014048428,228.9325367,213.1097674,21.69979262,23.31093799,-0.01927622,1.390730405,-0.019425898,-0.012127642,287.43228,41.46690024,38.79832667,6.950754832,44.62600729,2.93783601,6.583237419,4.012918822,35.48502185,-75.31845312,-13.05844941,234.5403993,0.284371742,-0.816521707,-0.014048428,238.5699451,236.7493818,0.364143712,60.78175561,-0.804649022,29.84544313,28.8554697,6.68562E-07,69.65,48,10,1.003849715,0.384971538,25032.90843,1500.012,1261.22508,0.840809994,0.191619987,6,0.5,0: Broadleaf,2,TRUE,1786461997,228.9322,229.0542667,28.85196,29.85257333,241.235,29.29214667,473.6088,101.7245333,0.099953127,37.79377333,38.79832667,999.9,0,0,4995.082667,0,22.87972,-0.122007267,235.7336667,236.1024667,-1.0006096,229.0542667,29.85257333,2.934954667,3.036744,23.66343333,24.23076,1500.012,0.973001333,0.02699914,0,2.034666667,0,12039.44,12843.99333,47.812,49.7164,48.875,48.17873333,47.875,1459.512,40.5,0,1786462002,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,1.06886805,-23.85010047,2.596063426,0,-1.00370775,0.082487774,0.009628352,1,1,2,1/2,3.04611,2.7594,0.0603243,0.0586893,0.131379,0.127344,32961.5,23727.1,33234,25507.6,36913.2,30105.1,48589,39892.6,1.78647,2.55718,0.280306,0,34.2779,999.9,64.681,36.628,39.2827,28.9555,-100,3,0.608077,0,20.2457,5.20531,11.9562,4.9696,3.2945,148.4,9999,7167.5,9999,4.97381,1.87308,1.871,1.87241,1.87289,1.87364,1.87332,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,60.6,60.6,0.153809,4.99756,2.64526,2.69653,2.8479,2.26196,39.7925,15.3666,2,417.104,1186.07,35.9227,35.1737,29.9996,35.0834,34.9868,-1,40,10,-999.9,400,20,100.936,93.5915
32,1786462125,3731,20260811 23:28:45,23:28:45,15,,1786462117,-0.000764741,-0.764740798,-0.283168876,219.8233091,182.2870294,18.56006521,22.38192682,-0.018506215,1.391835072,-0.018644017,-0.011640045,287.4267067,41.31904388,38.65193333,6.896113473,44.67611034,2.921089019,6.538369157,3.975024454,33.72506918,-73.84453076,-12.77596241,234.5312827,0.288348966,-0.766444398,-0.283168876,227.0291838,226.9015818,0.098367799,60.78175561,-0.764740798,29.62487712,28.68110485,-4.13163E-06,69.65,47,10,1.003762897,0.376289687,25074.75372,1499.982667,1261.20044,0.840810009,0.191620019,6,0.5,0: Broadleaf,2,TRUE,1786462117,219.8165333,219.9674667,28.68937333,29.63161333,232.1191333,29.12956,472.2251333,101.7178667,0.099938313,37.66782,38.65193333,999.9,0,0,5000.833333,0,21.51435333,-0.150972513,226.3091333,226.6843333,-0.942242867,219.9674667,29.63161333,2.918222,3.014065333,23.56851333,24.10580667,1499.982667,0.9729996,0.027000847,0,2.811333333,0,11845.93333,12843.74,47.687,49.5,48.687,47.9412,47.7164,1459.482667,40.5,0,1786462122,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,0.342609157,-7.358102603,1.794774149,0,-0.944032571,0.032974597,0.003821153,1,1,2,1/2,3.04445,2.75937,0.0582248,0.0564482,0.130808,0.126692,33044.7,23789.4,33243.1,25513.3,36943.2,30133.8,48601.5,39901.2,1.78465,2.56052,0.294659,0,33.9108,999.9,64.034,36.688,39.0182,28.8355,-100,3,0.596156,0,20.2456,5.20426,11.956,4.9693,3.2944,148.4,9999,7167.5,9999,4.97376,1.87305,1.871,1.87241,1.87287,1.87363,1.87332,1.87772,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.302,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,62.6,62.6,0.153809,4.99756,2.64526,2.69653,2.8479,2.2522,39.7673,15.3579,2,415.335,1188.74,35.7614,35.0461,29.9996,34.9697,34.8794,-1,40,10,-999.9,400,20,100.963,93.6119
33,1786462245,3851,20260811 23:30:45,23:30:45,15,,1786462237,-0.000768035,-0.76803526,-0.472292954,219.3020504,165.959491,16.89706441,22.32810458,-0.018486281,1.390612326,-0.018623907,-0.011627492,287.4262,41.32803892,38.71798667,6.920721595,44.72453072,2.924991005,6.540014972,3.99573059,33.87035495,-78.38435719,-13.57795962,229.3342381,-4.264706382,-0.780490155,-0.472292954,217.1735088,221.2601091,-0.680997421,60.78997829,-0.76803526,29.67889154,28.72697879,-7.39843E-07,69.65,47,10,1.003768182,0.376818239,25039.71395,1499.98,1261.1982,0.840810011,0.191620022,6,0.5,0: Broadleaf,2,TRUE,1786462237,219.2907333,213.6506667,28.72866,29.69227333,231.5932667,29.16884,470.1913333,101.7144,0.099990413,37.67245333,38.71798667,999.9,0,0,4995.000667,0,26.03972667,5.639766,225.7768667,220.1888667,-0.9636324,213.6506667,29.69227333,2.922118,3.020134667,23.59067333,24.13932667,1499.98,0.9729988,0.02700154,0,2.906666667,0,11660.08,12843.7,47.625,49.5,48.625,47.937,47.687,1459.48,40.5,0,1786462242,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,7.4198505,-22.40484767,2.667863006,0,-0.9649776,0.034797383,0.010022618,1,1,2,1/2,3.04325,2.7594,0.057021,0.054302,0.130995,0.126882,33094.5,23845.4,33250.2,25515,36939,30129,48610.8,39903.9,1.7835,2.56308,0.300258,0,33.8847,999.9,63.851,36.759,39.0632,28.9555,-100,3,0.587132,0,20.2456,5.20486,11.9565,4.9695,3.2943,148.5,9999,7167.5,9999,4.97373,1.87304,1.87101,1.87241,1.87286,1.87363,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.302,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,64.6,64.7,0.153809,4.99756,2.64526,2.69653,2.8479,2.26318,39.7422,15.3404,2,414.035,1190.46,35.6895,34.9422,29.9999,34.8685,34.7821,-1,40,10,-999.9,400,20,100.983,93.6182
34,1786462365,3971,20260811 23:32:45,23:32:45,15,,1786462357,-0.000698798,-0.698797854,-0.635654186,205.2315976,133.2629562,13.56705662,20.8939437,-0.016665702,1.392605436,-0.016777305,-0.010475727,287.4329133,41.30235815,38.79268,6.94864027,44.51839922,2.913641484,6.544802902,4.034998786,30.81698535,-83.09298642,-14.37911531,220.777797,-6.348253597,-0.717931371,-0.635654186,198.9358191,204.7110303,-0.968995413,60.78997829,-0.698797854,29.46306654,28.59677091,-0.000217088,69.65,47,10,1.003759752,0.375975212,25095.64822,1500.015333,1261.22788,0.840809992,0.191619983,6,0.5,0: Broadleaf,2,TRUE,1786462357,205.2164,196.9450667,28.61936,29.50722,217.5190667,29.05954667,469.4628667,101.7066667,0.099994427,37.68592667,38.79268,999.9,0,0,5005.167333,0,27.11438,8.271211333,211.2624667,202.9334,-0.887850533,196.9450667,29.50722,2.910780667,3.001082,23.52614667,24.03388667,1500.015333,0.9729996,0.027000847,0,2.418666667,0,11486.45333,12844.01333,47.687,49.55786667,48.62913333,48.062,47.6912,1459.515333,40.5,0,1786462362,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,8.583044,-1.170559398,0.651585208,0,-0.90273515,0.302898812,0.031367728,0,0,2,0/2,3.04222,2.75953,0.0533765,0.0498875,0.130553,0.126267,33227,23959.8,33254.6,25518.1,36959.8,30152.9,48616.9,39908.1,1.78242,2.56533,0.292882,0,34.098,999.9,63.222,36.799,38.7636,28.8655,-100,3,0.580394,0,20.2459,5.20127,11.9562,4.9698,3.2943,148.5,9999,7167.5,9999,4.97377,1.87306,1.87102,1.87241,1.87288,1.87363,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.302,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,66.6,66.7,0.153809,4.99756,2.64526,2.69653,2.8479,2.2522,39.7422,15.3228,2,412.913,1192.07,35.663,34.8658,29.9997,34.7883,34.7009,-1,40,10,-999.9,400,20,100.996,93.6287
35,1786462485,4091.1,20260811 23:34:45,23:34:45,15,,1786462477,-0.000754856,-0.75485586,-0.346489982,207.4846207,163.6848439,16.66297489,21.12175411,-0.017667368,1.3925723,-0.017792848,-0.011109182,287.4298733,41.44530006,38.96720667,7.014255454,44.12262938,2.905889452,6.585938992,4.108366002,33.28914342,-87.52952359,-15.16839228,218.0211009,0.999439813,-0.747177092,-0.346489982,215.279017,215.0841333,0.127858164,60.78997829,-0.75485586,29.48578627,28.54908303,1.77083E-05,69.65,47,10,1.003761252,0.376125229,25085.67637,1499.999333,1261.21444,0.84081,0.191620001,6,0.5,0: Broadleaf,2,TRUE,1786462477,207.4763333,208.5500667,28.54532667,29.46882667,219.7790667,28.98549333,469.7664667,101.6991333,0.099997787,37.80133333,38.96720667,999.9,0,0,5005.375333,0,27.77464,-1.073801667,213.5728667,214.8825333,-0.923510933,208.5500667,29.46882667,2.903034667,2.996952667,23.48194667,24.01099333,1499.999333,0.9729996,0.027000847,0,2.752,0,11318.36,12843.88,47.6912,49.6208,48.6374,48.25,47.7872,1459.499333,40.5,0,1786462482,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-2.254569143,18.99025426,2.888426696,0,-0.929609524,0.025383974,0.015322802,1,1,2,1/2,3.04246,2.75946,0.0557664,0.053219,0.130417,0.126332,33147.7,23877.8,33258.8,25519.9,36969.3,30153.2,48622.9,39910.8,1.78325,2.5643,0.278171,0,34.5028,999.9,62.856,36.87,38.6942,29.1192,-100,3,0.57565,0,20.2458,5.20456,11.9569,4.96965,3.2942,148.5,9999,7167.5,9999,4.97378,1.87306,1.87099,1.87241,1.87292,1.87363,1.87332,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,68.6,68.7,0.153809,4.99756,2.64526,2.69531,2.8479,2.24854,39.7673,15.2966,2,412.983,1189.4,35.6853,34.815,30,34.7257,34.6379,-1,40,10,-999.9,400,20,101.008,93.635
36,1786462605,4211.1,20260811 23:36:45,23:36:45,15,,1786462597,-0.000783973,-0.783972595,-0.694506573,226.9806332,153.8189142,15.65772734,23.10509656,-0.018337078,1.391452861,-0.0184724,-0.011533009,287.4233267,41.48110707,38.99117333,7.023307808,44.20126489,2.914052361,6.592689978,4.109255447,34.57319144,-87.84074312,-15.23771657,218.9180584,-3.37087347,-0.779808814,-0.694506573,227.3556654,230.6318545,-0.463180585,60.78997829,-0.783972595,29.5912184,28.61777818,-9.66591E-05,69.65,47,10,1.003766247,0.3766247,25052.53298,1499.964667,1261.18534,0.840810032,0.191620065,6,0.5,0: Broadleaf,2,TRUE,1786462597,226.964,222.4424667,28.62716667,29.59224667,239.2666,29.06734667,469.1170667,101.6932667,0.099984287,37.82021333,38.99117333,999.9,0,0,5000.166,0,27.96427333,4.521390667,233.6528,229.2257333,-0.965091333,222.4424667,29.59224667,2.911192,3.009334667,23.5285,24.07964667,1499.964667,0.972997067,0.027003007,0,2.492,0,11160.60667,12843.56667,47.7206,49.6622,48.7038,48.25,47.812,1459.464,40.50066667,0,1786462602,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,3.358071381,17.67323369,2.149432921,0,-0.975132381,0.126896883,0.018497418,0,0,2,0/2,3.04212,2.75944,0.0589343,0.055803,0.13065,0.126659,33036.1,23810.1,33258.2,25517,36958.7,30139.3,48621.9,39906.8,1.7826,2.5663,0.275232,0,34.5553,999.9,62.746,36.92,38.734,28.9392,-100,3,0.575061,0,20.2458,5.20306,11.9595,4.9693,3.29423,148.6,9999,7167.5,9999,4.97378,1.87305,1.87101,1.87241,1.87288,1.87364,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,70.6,70.7,0.153809,4.99756,2.64526,2.69653,2.8479,2.25952,39.7925,15.2966,2,412.418,1191.55,35.711,34.7974,30,34.6948,34.6033,-1,40,10,-999.9,400,20,101.007,93.6252
37,1786462725,4331.1,20260811 23:38:45,23:38:45,15,,1786462717,-0.000769803,-0.769802776,-0.380087933,214.5302407,168.2575238,17.12705654,21.83719028,-0.01812394,1.390833674,-0.018256182,-0.011398152,287.43346,41.40954255,38.90208667,6.989710318,44.24063212,2.906170191,6.569006933,4.083540127,33.94830243,-86.09355039,-14.93009726,220.3581148,0.720339086,-0.765689258,-0.380087933,223.394354,222.5944545,0.254772923,60.78997829,-0.769802776,29.51360745,28.55462545,2.3391E-05,69.65,47,10,1.003768085,0.376808489,25040.3594,1500.018,1261.23014,0.840810004,0.191620007,6,0.5,0: Broadleaf,2,TRUE,1786462717,214.5211333,215.2306667,28.55044,29.50048,226.8238,28.99062667,467.9513333,101.6907333,0.099998827,37.75390667,38.90208667,999.9,0,0,4997.25,0,29.05733333,-0.709441533,220.8258,221.7728667,-0.950027133,215.2306667,29.50048,2.903314,2.999922667,23.48356667,24.02747333,1500.018,0.972998333,0.027001887,0,1.717333333,0,11017.85333,12844.03333,47.812,49.6954,48.77066667,48.2374,47.8204,1459.517333,40.50066667,0,1786462722,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-1.177191762,21.5432887,4.458977555,0,-0.959054143,0.076680078,0.022049502,1,1,2,1/2,3.04092,2.75947,0.0571913,0.0541744,0.130438,0.126342,33096.8,23851.8,33257.8,25517.7,36966.8,30150.6,48621.5,39907.6,1.7809,2.5645,0.286344,0,34.3084,999.9,62.257,36.991,38.578,28.9391,-100,3,0.575152,0,20.2456,5.20471,11.956,4.9692,3.29443,148.6,9999,7167.5,9999,4.97378,1.87304,1.87102,1.87241,1.87289,1.87364,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,72.6,72.7,0.153809,4.99756,2.64526,2.69531,2.8479,2.26318,39.8177,15.2791,2,411.351,1188.65,35.6754,34.7864,30.0001,34.6783,34.5845,-1,40,10,-999.9,400,20,101.005,93.6273
38,1786462845,4451.1,20260811 23:40:45,23:40:45,15,,1786462837,-0.000742361,-0.742360968,-0.402107533,220.2780903,169.8476995,17.28896212,22.42232053,-0.017249583,1.39215924,-0.017369213,-0.010844941,287.4196133,41.49076575,39.03952,7.041599472,43.9652443,2.903577247,6.604255913,4.138022226,32.73811868,-89.08920359,-15.45244844,215.61608,-0.294775438,-0.741098214,-0.402107533,224.6942508,226.1319212,-0.177634713,60.78997829,-0.742360968,29.4459635,28.5221297,-2.74723E-05,69.65,47,10,1.003763596,0.376359633,25070.11105,1499.945333,1261.16908,0.84081003,0.191620059,6,0.5,0: Broadleaf,2,TRUE,1786462837,220.2684667,219.6830667,28.5249,29.44376,232.5712,28.96507333,468.3062,101.6909333,0.100036893,37.85252,39.03952,999.9,0,0,5003.75,0,26.83015333,0.585451733,226.7362,226.3474667,-0.918865467,219.6830667,29.44376,2.900724,2.994164,23.46877333,23.99548,1499.945333,0.972997333,0.027002827,0,1.939333333,0,10872.58667,12843.42667,47.937,49.87913333,48.937,48.43286667,48,1459.445333,40.5,0,1786462842,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,0.027920619,2.046461688,2.693446982,0,-0.929390143,0.125116286,0.020984209,0,0,2,0/2,3.0414,2.7595,0.0582336,0.0569965,0.130313,0.126233,33055.5,23776.7,33253.2,25513.5,36969.2,30149.9,48615.6,39901.1,1.7813,2.56615,0.279233,0,34.5361,999.9,61.763,37.051,38.4002,28.9992,-100,3,0.580561,0,20.2454,5.20366,11.9568,4.96925,3.29417,148.6,9999,7167.5,9999,4.97377,1.87303,1.87101,1.87241,1.87298,1.87363,1.87332,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,74.6,74.7,0.153809,4.99756,2.64526,2.69531,2.8479,2.26685,39.868,15.244,2,411.757,1191.46,35.7101,34.8317,30.0004,34.7067,34.6096,-1,40,10,-999.9,400,20,100.993,93.612
39,1786463495,5101.1,20260811 23:51:35,23:51:35,15,,1786463487,0.002273439,2.273439166,0.812701513,171.0493663,143.3539183,14.58748852,17.40573748,0.069194028,1.39107596,0.067337249,0.042248455,287.4370688,39.35192469,37.42966667,6.454256874,49.85248958,3.181344394,6.38151559,3.27291248,-100.2586672,-15.60960233,-2.680433564,168.8883657,0.91094362,2.321746521,0.812701513,177.5987759,176.5590606,-0.001791376,60.77213611,2.273439166,28.46578599,31.23515636,-0.001452068,69.65,62,13,1.004966464,0.496646436,25091.45996,1500.038667,1261.247341,0.840809887,0.191619773,6,0.5,0: Broadleaf,2,TRUE,1786463487,171.0688,172.7030667,31.26365333,28.45840667,183.2952667,30.61572667,478.6074,101.659,0.09956162,37.22152667,37.42966667,999.9,0,0,5000,0,21.89904667,-1.634390667,176.5896,177.7618667,2.805238,172.7030667,28.45840667,3.178232,2.893055333,24.99236,23.42488,1500.038667,0.9730036,0.02699598,0,2.282,0,24875.35333,12844.24,47.80373333,49.55373333,48.812,48.00826667,47.8456,1459.542,40.49533333,0,1786463492,0,1786463468,23:51:08,1786463468,1786463468,2,0.076,1.088,-12.227,0.648,173,28,0.2,0.1,-1.747897143,1.390923896,0.272175184,0,2.818051905,-0.276188571,0.035136451,0,0,2,0/2,3.05046,2.75952,0.0471889,0.0452744,0.135699,0.123275,33406.6,24057.9,33218.8,25500.4,36710.3,30234.9,48571,39881.1,1.76665,2.54985,0.171624,0,34.6477,999.9,58.961,37.313,37.1969,29.1092,-100,3,0.612899,0,20.246,5.20501,11.9578,4.96765,3.2947,148.8,9999,7167.5,9999,4.97373,1.87303,1.87103,1.87241,1.87291,1.87363,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.227,0.648,-12.2266,0,0,0,0.64793,0,0,0,-1,-1,-1,-1,0.5,0.5,0.153809,4.99756,2.64526,2.69531,2.8479,2.26562,39.9184,15.174,2,405.41,1174.02,35.5898,35.1458,30.0003,35.0099,34.8959,-1,40,10,-999.9,400,20,100.895,93.5648
40,1786463620,5226.1,20260811 23:53:40,23:53:40,15,,1786463612,0.001732125,1.732125128,0.798838572,172.4166461,138.0993652,14.05424652,17.54668492,0.050644138,1.391137512,0.049641737,0.031114495,287.4250022,39.66623207,37.62065625,6.521636477,49.07704782,3.139202379,6.396477617,3.382434098,-76.38671816,-26.71089582,-4.591701001,179.7356872,1.227107509,1.755893137,0.798838572,179.6185771,178.3414909,0.04606192,60.78135453,1.732125128,28.72518987,30.85459758,0.000184468,69.65,59,12,1.004725416,0.472541572,25089.34792,1499.976875,1261.195273,0.840809811,0.191619622,6,0.5,0: Broadleaf,2,TRUE,1786463612,172.43575,174.3700625,30.846325,28.697075,184.662625,30.19839375,472.76175,101.669125,0.099963494,37.26450625,37.62065625,999.9,0,0,4999.804375,0,21.0685625,-1.9341225,177.9241875,179.521875,2.149246875,174.3700625,28.697075,3.136115,2.917601875,24.7688,23.5649875,1499.976875,0.973006938,0.026993181,0,3.04125,0,21047.9875,12843.725,47.687,49.3159375,48.625,47.933125,47.66375,1459.489375,40.49,0,1786463617,0,1786463468,23:51:08,1786463468,1786463468,2,0.076,1.088,-12.227,0.648,173,28,0.2,0.1,-2.179450952,3.195353766,0.422039748,0,2.168716667,-0.290212208,0.031734953,0,0,2,0/2,3.04519,2.7593,0.0476105,0.0454628,0.134423,0.124092,33390.8,24049.9,33218.1,25497.2,36767,30203,48571.6,39876.3,1.75993,2.55408,0.216737,0,34.1332,999.9,59.156,37.353,37.3983,29.2192,-100,3,0.615381,0,20.2459,5.20052,11.9586,4.9694,3.29428,148.9,9999,7167.5,9999,4.97378,1.87304,1.87102,1.87241,1.87288,1.87364,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.227,0.6479,-12.2266,0,0,0,0.64793,0,0,0,-1,-1,-1,-1,2.5,2.5,0.153809,4.99756,2.64526,2.69531,2.8479,2.27051,39.9184,15.1652,2,401.983,1181.07,35.4725,35.1892,30,35.0635,34.954,-1,40,10,-999.9,400,20,100.895,93.5533
