obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_hum,AccH2O_des,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
26,1784733901,3004.1,20260722 23:25:01,23:25:01,15,,1784733893,0.002575003,2.575002888,3.173835607,429.0286662,331.7215367,33.55450654,43.39737881,0.069929438,1.384629089,0.068024994,0.042682408,287.4375667,36.58268175,34.91384,5.621477347,35.05772352,1.935498294,5.520889836,3.685979053,-113.5576274,-24.29497825,-4.087834238,145.4971268,2.10412117,2.549971352,3.173835607,438.4272012,435.9456,-0.362785033,60.84697424,2.575002888,15.61682627,19.14978,0.00090294,69.65,42,10,1.003351866,0.335186624,25144.66594,1500.036667,1261.2461,0.84081018,0.19162036,6,0.5,0: Broadleaf,2,TRUE,1784733893,429.1044,433.5757333,19.13443333,15.64196,442.8747333,19.1879,428.2341333,101.0526667,0.099965373,34.58838,34.91384,999.9,0,0,4998.168,0,34.22247333,-4.471307933,437.4754,440.4656,3.492471333,433.5757333,15.64196,1.933586667,1.580661333,16.91072667,13.77135333,1500.036667,0.972993333,0.027006733,0,1.94572,0,14360.70667,12844.16667,44.625,46.437,45.5998,45.03306667,44.687,1459.526667,40.51,0,1784733898,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-6.702357048,33.13391158,3.545541105,0,3.403349048,0.993566494,0.13852901,0,0,2,0/2,3.00216,2.75933,0.097639,0.0964127,0.0947168,0.0795942,31883,22974.7,33460.1,25715.1,38727,32037.6,48897.2,40192.2,1.73972,2.62822,0.20501,0,31.6085,999.9,55.738,35.047,31.2369,29.1573,-100,3,0.337462,0,20.2433,5.20321,11.956,4.96915,3.29402,122.2,9999,9999,7159.6,4.97374,1.87302,1.87089,1.87241,1.87287,1.87369,1.8733,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.751,-0.0536,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,54.3,54.2,0.155029,4.99756,2.64526,2.74414,2.8479,2.25952,39.0683,15.8132,2,371.731,1222.79,32.6982,31.9372,30.0001,31.8492,31.7653,-1,40,10,-999.9,400,20,101.595,94.3171
27,1784734022,3125,20260722 23:27:02,23:27:02,15,,1784734014,0.0025805,2.580499685,3.204232308,430.0742134,331.9862815,33.58213758,43.50424162,0.069942167,1.386148792,0.068039068,0.04269109,287.4273067,36.54943387,34.90913333,5.620011419,34.95258761,1.926634919,5.512138159,3.6933765,-113.8000361,-26.10420415,-4.386725084,143.1363413,-6.338915121,2.721042384,3.204232308,426.7462079,428.8098848,-1.180145613,60.84697424,2.580499685,15.17386366,18.87636909,-0.024357887,69.65,41,10,1.003265823,0.326582308,25190.52489,1499.982667,1261.20074,0.840810209,0.191620419,6,0.5,0: Broadleaf,2,TRUE,1784734014,430.1505333,422.9404,19.04632667,15.32018,443.9294,19.11715333,428.3823333,101.0552,0.099996627,34.55982,34.90913333,999.9,0,0,5005.542,0,33.47266,7.210138,438.5031333,429.5211333,3.726136,422.9404,15.32018,1.924728,1.548183333,16.83816,13.45206667,1499.982667,0.972991333,0.02700876,0,2.032506667,0,14334.26,12843.71333,44.625,46.479,45.625,45.06626667,44.7416,1459.472667,40.51,0,1784734019,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,8.201695238,-30.84124831,3.513259758,0,3.733057619,0.024743377,0.040772459,1,1,2,1/2,3.00257,2.75944,0.0964554,0.0950283,0.0938299,0.0785758,31923.7,23009.8,33459.1,25715,38765.6,32073.5,48895.5,40192.2,1.74075,2.62827,0.203587,0,31.6172,999.9,54.902,35.147,30.9373,29.1073,-100,3,0.338288,0,20.2433,5.20456,11.956,4.96935,3.29402,122.3,9999,9999,7159.6,4.97375,1.87303,1.87089,1.87241,1.87286,1.87363,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.694,-0.1092,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,56.3,56.2,0.155029,4.99756,2.64526,2.74536,2.8479,2.27295,39.0188,15.7957,2,372.248,1222.81,32.7138,31.9396,30,31.8474,31.7625,-1,40,10,-999.9,400,20,101.592,94.317
28,1784734142,3245,20260722 23:29:02,23:29:02,15,,1784734134,0.002377833,2.377833298,3.917667084,423.0745514,301.2802054,30.47536059,42.7952095,0.06416003,1.385475635,0.062553936,0.039237162,287.4360467,36.64541635,34.94049333,5.62978501,34.99832616,1.928360304,5.509864373,3.701424706,-104.8624485,-28.9886492,-4.874382365,148.7105666,8.715226764,2.265747131,3.917667084,447.7284975,437.2125879,0.874758591,60.84697424,2.377833298,16.03870705,19.18974424,0.019466649,69.65,42,10,1.003348228,0.334822764,25171.89997,1500.028667,1261.23938,0.840810185,0.191620369,6,0.5,0: Broadleaf,2,TRUE,1784734134,423.1679333,436.7178,19.06382,15.95204667,436.89,19.13122,427.0862,101.0528667,0.100013727,34.55239333,34.94049333,999.9,0,0,5002.335333,0,113.0930667,-13.549946,431.3921333,443.7978,3.111780667,436.7178,15.95204667,1.926455333,1.612,16.85235333,14.07368667,1500.028667,0.972991667,0.02700842,0,2.042846667,0,14290.40667,12844.12,44.625,46.437,45.583,45.0206,44.6912,1459.518667,40.51,0,1784734139,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-10.35743238,-46.44961792,5.816474427,0,3.238509048,-1.738486753,0.226825612,0,0,2,0/2,3.00166,2.75959,0.0980852,0.0987657,0.0949176,0.0818625,31866.3,22914.1,33459.2,25714.1,38717.1,31956.9,48896,40191.5,1.73853,2.62878,0.205427,0,31.5983,999.9,55.952,35.218,31.6526,28.7473,-100,3,0.337066,0,20.2431,5.20441,11.956,4.9694,3.294,122.3,9999,9999,7159.6,4.97377,1.87304,1.87088,1.87241,1.87287,1.8737,1.87332,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.772,-0.0412,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,58.3,58.2,0.153809,4.99756,2.64526,2.74414,2.8479,2.26196,38.9445,15.7781,2,371.035,1223.35,32.7073,31.9283,30,31.8362,31.7541,-1,40,10,-999.9,400,20,101.593,94.3146
29,1784734262,3365,20260722 23:31:02,23:31:02,15,,1784734254,0.002454246,2.454246064,3.24054287,413.2708328,311.7427176,31.53324115,41.80296153,0.066574374,1.385191268,0.064846539,0.040680591,287.4305333,36.47655986,34.77292667,5.577732462,34.56692915,1.890783714,5.469920992,3.686948748,-108.2322514,-26.24449016,-4.407445194,148.5463466,3.079760913,2.444705886,3.24054287,424.7828257,421.0512303,-0.156374898,60.84697424,2.454246064,15.13936547,18.61720424,-0.016268803,69.65,42,10,1.00334788,0.334787983,25174.50632,1500.005333,1261.21924,0.840809837,0.191619674,6,0.5,0: Broadleaf,2,TRUE,1784734254,413.3480667,419.0623333,18.69259333,15.34407333,426.9898667,18.83275333,428.4013333,101.0514667,0.100025807,34.42149333,34.77292667,999.9,0,0,5001.001333,0,66.35598,-5.714304133,421.2217333,425.5933333,3.348520667,419.0623333,15.34407333,1.888913333,1.55054,16.54265333,13.47482667,1500.005333,0.973007133,0.02699252,0,1.95504,0,14255.84667,12843.96667,44.5662,46.437,45.5662,44.93706667,44.687,1459.513333,40.492,0,1784734259,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-6.730369619,29.55742706,4.130808268,0,3.395987619,0.133384675,0.1802133,0,0,2,0/2,3.00281,2.75935,0.0951992,0.0931455,0.0930346,0.0778097,31968.3,23057.2,33459.3,25714.5,38801.7,32100.1,48896,40191.7,1.741,2.62952,0.214271,0,31.2948,999.9,54.267,35.268,30.7841,28.7173,-100,3,0.338049,0,20.2435,5.20441,11.956,4.9692,3.294,122.3,9999,9999,7159.6,4.97377,1.87303,1.8709,1.87241,1.87287,1.87372,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.633,-0.158,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,60.3,60.2,0.153809,4.99756,2.64526,2.74414,2.8479,2.20703,38.8211,15.7431,2,372.31,1224.37,32.6601,31.9311,30.0001,31.8362,31.7514,-1,40,10,-999.9,400,20,101.593,94.3156
30,1784734382,3485,20260722 23:33:02,23:33:02,15,,1784734374,0.002289808,2.289808206,3.728887258,420.2007345,299.6155099,30.30682506,42.50430878,0.061690867,1.384119152,0.060203052,0.037757593,287.42826,36.61955297,34.85736667,5.603910191,34.60956729,1.899295278,5.487775278,3.704614913,-100.9805419,-28.15137952,-4.734647814,153.5616908,3.325429583,2.35211894,3.728887258,433.8497755,428.0739939,0.079608831,60.8378999,2.289808206,15.66476583,18.78506667,0.006149619,69.65,42,10,1.003352639,0.335263888,25138.89046,1499.994,1261.20966,0.840809803,0.191619606,6,0.5,0: Broadleaf,2,TRUE,1784734374,420.2897333,426.3414667,18.77657333,15.54164,433.9883333,18.90038667,426.6106,101.0524,0.099990493,34.48010667,34.85736667,999.9,0,0,4995.665333,0,41.3298,-6.0516762,428.3322667,433.0721333,3.234933333,426.3414667,15.54164,1.897417333,1.570519333,16.61330667,13.6722,1499.994,0.973007667,0.02699198,0,2.060806667,0,14220.48667,12843.87333,44.54546667,46.3874,45.562,44.92046667,44.625,1459.504,40.49,0,1784734379,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-5.059077381,-26.45376912,3.279183433,0,3.188819048,0.028237403,0.14374457,1,1,2,1/2,3.00098,2.7595,0.0965627,0.0974017,0.0936403,0.0809672,31921.3,22949.2,33460.4,25714.6,38775.9,31989.3,48897.8,40192.5,1.73727,2.629,0.217393,0,31.3357,999.9,54.682,35.339,31.1415,28.6573,-100,3,0.336245,0,20.2431,5.20486,11.956,4.96945,3.29402,122.4,9999,9999,7159.6,4.97373,1.87302,1.87089,1.8724,1.87286,1.87369,1.87332,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.699,-0.1211,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,62.3,62.2,0.153809,4.99756,2.64526,2.74536,2.8479,2.25952,38.7717,15.7431,2,370.354,1223.5,32.6383,31.9227,29.9999,31.8296,31.7458,-1,40,10,-999.9,400,20,101.596,94.3168
31,1784734502,3605,20260722 23:35:02,23:35:02,15,,1784734494,0.002240252,2.240251599,5.078331041,407.5109528,245.9413722,24.8760858,41.21826813,0.058697713,1.38356132,0.057348538,0.035961471,287.42902,36.72416634,34.95884,5.635509741,33.20374838,1.83016599,5.51192585,3.805343751,-98.7950955,-29.81484052,-5.020855072,153.7982289,7.854131406,2.299055979,5.078331041,429.7721442,417.9156303,0.820251203,60.8378999,2.240251599,15.12111186,18.13764,0.011390905,69.65,42,10,1.003355617,0.335561691,25116.6549,1499.998,1261.21302,0.840809801,0.191619602,6,0.5,0: Broadleaf,2,TRUE,1784734494,407.6322667,419.9448667,18.09422667,14.93388667,421.2271333,18.34897333,427.1250667,101.0464,0.100005627,34.55912667,34.95884,999.9,0,0,4993.21,0,33.75594,-12.31269133,415.144,426.3132,3.160341333,419.9448667,14.93388667,1.828359333,1.509016667,16.03136,13.05898667,1499.998,0.973009,0.0269906,0,1.963346667,0,14181.22,12843.89333,44.5704,46.437,45.562,44.9664,44.67873333,1459.508,40.49,0,1784734499,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-9.769332381,-81.14514623,10.34292497,0,3.233473333,-1.746617922,0.185237323,0,0,2,0/2,3.00166,2.75951,0.0953276,0.100172,0.0916135,0.0792177,31965.2,22879.6,33460.8,25715.5,38867.7,32053.1,48898.3,40193.7,1.73873,2.62525,0.214905,0,31.4853,999.9,53.351,35.369,30.4377,29.0773,-100,3,0.336214,0,20.2427,5.20396,11.956,4.96925,3.294,122.4,9999,9999,7159.6,4.9737,1.87302,1.87088,1.8724,1.87286,1.87364,1.87328,1.8777,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.64,-0.2431,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,64.3,64.2,0.155029,4.99756,2.64526,2.74292,2.8479,2.21802,38.7225,15.7169,2,371.071,1218.1,32.6639,31.9152,30.0002,31.825,31.7446,-1,40,10,-999.9,400,20,101.597,94.3199
32,1784734622,3725,20260722 23:37:02,23:37:02,15,,1784734614,0.002327005,2.327005085,3.027825685,436.0978577,332.3706471,33.61588214,44.10682566,0.06177766,1.385056572,0.060286693,0.037810144,287.43222,36.6900898,35.00700667,5.650563323,34.30752055,1.892244371,5.515538112,3.758318952,-102.6209242,-32.56310158,-5.479347019,146.7688472,-0.78990981,2.597788706,3.027825685,438.2855561,439.1165758,-0.915759423,60.8378999,2.327005085,15.21908927,18.51711333,-0.014951786,69.65,42,10,1.003349968,0.33499681,25158.86564,1500.014,1261.22654,0.840809846,0.191619692,6,0.5,0: Broadleaf,2,TRUE,1784734614,436.1700667,436.6548667,18.70920667,15.14754667,449.9977333,18.84599333,427.9767333,101.0397333,0.1000106,34.57092,35.00700667,999.9,0,0,5000.917333,0,33.84848,-0.484836,444.4866667,443.3708,3.561666667,436.6548667,15.14754667,1.890372667,1.530504667,16.55412,13.27554,1500.014,0.9730066,0.02699306,0,2.042386667,0,14163.13333,12844.04,44.625,46.437,45.5914,45.02893333,44.687,1459.521333,40.49266667,0,1784734619,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,3.528878571,-65.47233818,9.296606009,0,3.526348095,-0.660248571,0.324432762,0,0,2,0/2,3.00209,2.75948,0.0984199,0.0992406,0.0926465,0.0786722,31854.2,22902.7,33459,25715,38820.4,32071.8,48896.7,40193.3,1.73958,2.62655,0.212915,0,31.5627,999.9,53.895,35.409,30.8174,29.3173,-100,3,0.337409,0,20.2432,5.20486,11.956,4.9693,3.29402,122.4,9999,9999,7159.6,4.97375,1.87302,1.87089,1.87241,1.87286,1.87365,1.8733,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.789,-0.181,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,66.3,66.2,0.155029,4.99756,2.64526,2.74414,2.8479,2.21802,38.6733,15.6993,2,371.559,1220.05,32.6879,31.9283,30.0002,31.8334,31.7486,-1,40,10,-999.9,400,20,101.593,94.3185
33,1784734742,3845,20260722 23:39:02,23:39:02,15,,1784734734,0.00209202,2.092020468,2.447518937,445.0948785,346.8786485,35.0824332,45.01577543,0.054361159,1.385877901,0.053203745,0.033354277,287.42622,36.84348648,35.05633333,5.66601565,33.23421687,1.836703203,5.526542751,3.829312447,-92.25810265,-33.58658692,-5.650564212,155.9309662,3.55227722,1.901045114,2.447518937,456.4386969,453.9885091,-0.186038112,60.8378999,2.092020468,15.64048369,18.35866727,0.0265891,69.65,42,10,1.003347202,0.334720158,25179.59043,1499.982,1261.1997,0.84080989,0.191619779,6,0.5,0: Broadleaf,2,TRUE,1784734734,445.1532,451.3258,18.16046,15.54296,459.0533333,18.40260667,426.4021333,101.0374667,0.100015707,34.60680667,35.05633333,999.9,0,0,5005.083333,0,34.89858667,-6.172625133,453.3870667,458.4514,2.617518,451.3258,15.54296,1.834886667,1.57042,16.08683333,13.67141333,1499.982,0.973005267,0.026994447,0,2.120946667,0,14109.48,12843.75333,44.625,46.4412,45.6124,45.0496,44.7038,1459.488,40.494,0,1784734739,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-12.67207986,92.99393969,12.44307977,0,2.599678571,0.428575325,0.110668493,0,0,2,0/2,3.00127,2.75948,0.100648,0.099453,0.0923149,0.080389,31774.3,22895.7,33457.7,25713.1,38834.5,32008.9,48894.9,40191,1.7375,2.62665,0.215136,0,31.5932,999.9,53.675,35.45,30.7638,28.4773,-100,3,0.338618,0,20.2432,5.20501,11.956,4.9693,3.294,122.5,9999,9999,7159.6,4.97374,1.87302,1.87088,1.87241,1.87286,1.87365,1.87331,1.8777,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.898,-0.2006,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,68.3,68.2,0.155029,4.99756,2.64526,2.74292,2.8479,2.25708,38.6241,15.6906,2,370.563,1220.42,32.7031,31.9424,30.0001,31.8455,31.7597,-1,40,10,-999.9,400,20,101.589,94.3126
34,1784734862,3965,20260722 23:41:02,23:41:02,15,,1784734854,0.002033818,2.03381763,3.794038307,406.2523842,264.4666171,26.74649092,41.08581198,0.051401316,1.385469019,0.050364915,0.031569448,287.4263445,36.98656214,35.20702667,5.713450333,32.02076617,1.780821074,5.56145679,3.932629259,-89.69135747,-36.35875811,-6.126635364,155.2495936,4.678613746,2.047040122,3.794038307,423.0582539,415.4129091,0.397444086,60.8378999,2.03381763,14.93452455,17.67680364,0.010039812,69.65,42,10,1.003349987,0.334998732,25158.72181,1499.982667,1261.200259,0.840809889,0.191619777,6,0.5,0: Broadleaf,2,TRUE,1784734854,406.3428667,414.0628,17.60858,14.79282667,419.9271333,17.95380667,427.0601333,101.0337333,0.099979553,34.72025333,35.20702667,999.9,0,0,5003.25,0,34.49117333,-7.719944,413.6260667,420.2802667,2.815762667,414.0628,14.79282667,1.779062,1.494573333,15.60400667,12.91215333,1499.982667,0.973005933,0.02699376,0,1.968893333,0,14054.84667,12843.76667,44.687,46.55786667,45.63326667,45.14566667,44.80373333,1459.49,40.494,0,1784734859,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-6.753388571,-20.78825455,2.314796463,0,2.877980952,-1.24512,0.149045453,0,0,2,0/2,3.00163,2.75959,0.0944941,0.0939959,0.0901469,0.0783554,31987.3,23031.7,33453.5,25710.4,38926.3,32076.4,48888.7,40186.9,1.7379,2.62542,0.220172,0,31.6625,999.9,52.32,35.51,30.0861,29.1373,-100,3,0.34358,0,20.2432,5.20516,11.956,4.9694,3.294,122.5,9999,9999,7159.6,4.97371,1.87302,1.87088,1.8724,1.87286,1.87363,1.87327,1.87766,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.602,-0.3266,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,70.3,70.2,0.155029,4.99756,2.64526,2.74414,2.8479,2.29248,38.6241,15.6731,2,370.993,1219.5,32.7605,31.9874,30.0005,31.8834,31.8002,-1,40,10,-999.9,400,20,101.577,94.3028
35,1784734982,4085,20260722 23:43:02,23:43:02,15,,1784734974,0.002101909,2.101909336,3.180958231,421.007111,301.4259954,30.48521381,42.57924661,0.053690705,1.385203042,0.052560808,0.032950041,287.4235667,36.96967982,35.23558,5.722477029,32.85577269,1.829009697,5.56678339,3.893467332,-92.69420172,-37.19565154,-6.270258566,151.2634548,-0.550643622,2.296860924,3.180958231,427.4849813,425.0719576,-0.376259323,60.8378999,2.101909336,14.99193265,17.96627273,-0.013107647,69.65,42,10,1.003351211,0.33512108,25149.56731,1499.968667,1261.18844,0.840809857,0.191619714,6,0.5,0: Broadleaf,2,TRUE,1784734974,421.083,421.6688,18.08454,14.93734667,434.7882667,18.34107333,428.5059333,101.0366667,0.099978053,34.73750667,35.23558,999.9,0,0,5001.792,0,35.10930667,-0.585646533,428.8387333,428.0629333,3.1472,421.6688,14.93734667,1.827202667,1.50922,16.02126667,13.06178,1499.968667,0.973006467,0.026993207,0,1.9265,0,14033.32667,12843.64667,44.6996,46.625,45.687,45.19133333,44.812,1459.476667,40.492,0,1784734979,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-1.007632286,-9.051144779,3.555913162,0,3.110195238,-0.054317143,0.127246518,1,1,2,1/2,3.00222,2.75937,0.0959991,0.0961988,0.0909481,0.0780999,31929.9,22973.5,33449.3,25708.2,38886.4,32082.7,48883.5,40183.7,1.73867,2.62475,0.219047,0,31.6988,999.9,52.716,35.55,30.3793,29.1373,-100,3,0.347187,0,20.2434,5.20022,11.956,4.9692,3.29405,122.5,9999,9999,7159.6,4.97373,1.87302,1.87088,1.87241,1.87286,1.87364,1.87329,1.87773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.674,-0.2801,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,72.3,72.2,0.155029,4.99756,2.64526,2.74414,2.8479,2.27661,38.6487,15.6381,2,371.662,1219.37,32.8006,32.041,30.0002,31.9288,31.8405,-1,40,10,-999.9,400,20,101.565,94.2951
36,1784735102,4205,20260722 23:45:02,23:45:02,15,,1784735094,0.002269579,2.269579146,1.026330888,454.7662074,399.1936423,40.37316489,45.99359592,0.058603359,1.386158468,0.057260922,0.035906128,287.4352133,36.8894093,35.25279333,5.727924743,33.57917421,1.869864906,5.568525582,3.858059838,-100.0884403,-38.08618861,-6.416669912,142.8439145,11.01466348,1.874284934,1.026330888,471.2122961,470.7001939,-0.169270434,60.8378999,2.269579146,15.63528623,18.65713636,0.015392688,69.65,42,10,1.003347613,0.334761251,25176.50989,1500.029333,1261.23946,0.840809864,0.191619728,6,0.5,0: Broadleaf,2,TRUE,1784735094,454.7906667,471.3666,18.48847333,15.91965333,468.7676667,18.66796,428.2228,101.0368,0.0999933,34.74314667,35.25279333,999.9,0,0,5006.501333,0,37.52377333,-16.575966,463.3589333,478.9966,2.568812667,471.3666,15.91965333,1.868018,1.608472667,16.36732667,14.03760667,1500.029333,0.973006267,0.026993447,0,2.031646667,0,13991.84667,12844.16667,44.75,46.625,45.7458,45.2164,44.8414,1459.535333,40.494,0,1784735099,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-22.63796619,174.91272,21.92447049,0,2.48362,3.028863117,0.390127918,0,0,2,0/2,3.0028,2.75943,0.102922,0.0985142,0.0930587,0.0784156,31685.9,22915.2,33449.8,25708.8,38794,32072.9,48885.1,40185,1.73953,2.62535,0.218604,0,31.7282,999.9,53.528,35.591,30.9177,29.1673,-100,3,0.346532,0,20.2436,5.20486,11.956,4.96955,3.294,122.6,9999,9999,7159.6,4.97373,1.87302,1.87088,1.87241,1.87286,1.87366,1.8733,1.87772,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.01,-0.1542,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,74.3,74.2,0.153809,4.99756,2.64526,2.74292,2.8479,2.26685,38.6241,15.6205,2,372.168,1220.4,32.8199,32.0439,30.0001,31.9401,31.8489,-1,40,10,-999.9,400,20,101.567,94.2978
