obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,AccH2O_hum,AccCO2_soda,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
11,1785427283,1206,20260731 00:01:23,00:01:23,15,,1785427275,0.000864674,0.864674091,2.049794065,387.9415896,205.026023,20.73939788,39.24221355,0.020313046,1.385326955,0.020149016,0.012607762,287.4269933,36.216717,34.45796,5.481023206,24.9398054,1.285247193,5.15339704,4.195776013,-38.13212743,-82.46899742,-13.75518886,153.0706796,1.390508116,0.797192309,2.049794065,394.1786584,392.170703,-0.150904497,60.85743361,0.864674091,11.51974725,12.70068485,-0.001967314,69.65,49,11,1.00389383,0.389382989,25266.02291,1499.987333,1261.20406,0.840809807,0.191619614,6,0.5,0: Broadleaf,2,TRUE,1785427275,387.9902667,390.3096,12.70572667,11.63262,401.1968667,13.88381333,438.3374,101.0549333,0.10002042,33.35374667,34.45796,999.9,0,0,5001.499333,0,249.4044667,-2.319197333,392.9834667,394.9034667,1.073089267,390.3096,11.63262,1.283976,1.175536,10.61256667,9.294933333,1499.987333,0.973003333,0.026996493,0,2.00998,0,17294.13333,12843.79333,44.062,46.062,44.9412,44.6872,44.01653333,1459.497333,40.49,0,1785427280,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-2.4930515,2.792105414,0.708093763,0,1.0474303,0.811631368,0.096484381,0,0,2,0/2,3.01327,2.75946,0.0908642,0.0898811,0.07305,0.0642483,32156.2,23170.6,33494.1,25746.8,39732.4,32610.7,48932.1,40220.9,1.75235,2.6473,0.212181,0,31.0499,999.9,51.691,29.588,21.2836,29.3,-100,3,0.313298,0,20.2439,5.20501,11.956,4.9692,3.294,9999,9999,7164.9,136.1,4.97363,1.87294,1.87073,1.87232,1.87285,1.87378,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,20.9,20.8,0.157471,4.99756,2.64526,2.75269,2.8479,2.26318,34.1905,15.9182,2,375.596,1240.87,31.1806,31.5149,30.0004,31.4069,31.3138,-1,40,10,-999.9,400,20,101.68,94.4036
12,1785427403,1326,20260731 00:03:23,00:03:23,15,,1785427395,0.000781109,0.781109173,2.017049514,385.9227205,185.250983,18.7390223,39.0379276,0.017971287,1.383838735,0.017842631,0.011163127,287.4280067,36.46451733,34.66805333,5.545368118,24.29050417,1.266141559,5.212496003,4.279226559,-34.44691455,-82.86384692,-13.86390562,156.2533396,4.338073955,0.850371694,2.017049514,396.9293087,392.9966182,0.210494369,60.85743361,0.781109173,11.38126676,12.47438667,-0.006721619,69.65,48,11,1.003823118,0.38231181,25206.39354,1499.992667,1261.20854,0.840809804,0.191619608,6,0.5,0: Broadleaf,2,TRUE,1785427395,385.9707333,392.3060667,12.51687333,11.37715333,399.177,13.69496,440.3655333,101.0547333,0.10004592,33.55736,34.66805333,999.9,0,0,4994.166667,0,61.03490667,-6.3355,390.8630667,396.8208,1.139730133,392.3060667,11.37715333,1.264889333,1.149715333,10.38800667,8.965603333,1499.992667,0.973004,0.0269958,0,1.999866667,0,17127.10667,12843.83333,44.25,46.25,45.15393333,44.89153333,44.2458,1459.502667,40.49,0,1785427400,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-5.5427565,-14.19779774,2.396236613,0,1.08678305,0.646109188,0.118814435,0,0,2,0/2,3.01494,2.75939,0.0911044,0.0906296,0.0720925,0.0642662,32141.5,23148.2,33488.2,25743.5,39768.5,32605.3,48924.7,40216.6,1.75665,2.64153,0.209019,0,31.2924,999.9,50.507,29.829,21.0877,29.18,-100,3,0.319886,0,20.244,5.20411,11.956,4.96935,3.29402,9999,9999,7164.9,136.1,4.97362,1.87292,1.87073,1.87237,1.87286,1.87378,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,22.9,22.8,0.157471,4.99756,2.64526,2.75269,2.8479,2.25464,34.3497,15.9182,2,378.451,1234.72,31.3813,31.6125,30.0003,31.509,31.4181,-1,40,10,-999.9,400,20,101.664,94.3927
13,1785427523,1446.1,20260731 00:05:23,00:05:23,15,,1785427515,0.00069322,0.693219922,1.809199045,402.0182636,201.3785406,20.37030845,40.66588231,0.016184686,1.38501709,0.016080347,0.010059535,287.4307211,36.47708571,34.5355,5.504695261,24.79793615,1.29042493,5.203759384,4.214270331,-30.57099855,-75.27485617,-12.57348717,169.0113792,-3.449579943,0.675765721,1.809199045,403.2328802,402.7048121,-0.359018788,60.85318178,0.693219922,11.90296305,12.79925515,0.005700084,69.65,48,11,1.003817582,0.381758173,25242.80939,1500.004,1261.218341,0.840809985,0.19161997,6,0.5,0: Broadleaf,2,TRUE,1785427515,402.0612667,397.7512,12.75699333,11.85191333,415.2676,13.93508,440.5632667,101.0543333,0.09998226,33.52738667,34.5355,999.9,0,0,5000,0,30.44144667,4.31000802,407.2564667,402.5216667,0.905077133,397.7512,11.85191333,1.289148667,1.197686667,10.67292,9.572751333,1500.004,0.973003,0.026996827,0,2.095966667,0,16994.73333,12843.93333,44.3666,46.2038,45.25,44.89153333,44.3288,1459.504,40.49933333,0,1785427520,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,7.328091443,-47.71806411,5.481584529,0,0.938092667,-0.414400185,0.056447642,0,0,2,0/2,3.01442,2.75945,0.0925365,0.0914299,0.0734753,0.0658557,32081.4,23120.9,33478.9,25736.3,39695.8,32539.5,48912.4,40206.9,1.7547,2.63882,0.215508,0,31.033,999.9,51.001,30.041,21.5509,29.3791,-100,3,0.329825,0,20.2441,5.20246,11.956,4.9692,3.294,9999,9999,7164.9,136.2,4.97365,1.87297,1.87073,1.87232,1.87286,1.87378,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,24.9,24.8,0.15625,4.99756,2.64526,2.75146,2.8479,2.25586,34.5092,15.8832,2,378.127,1233.19,31.5126,31.7231,30.0003,31.6226,31.5316,-1,40,10,-999.9,400,20,101.637,94.3685
14,1785427643,1566.1,20260731 00:07:23,00:07:23,15,,1785427635,0.000764297,0.764296797,1.977278091,384.0058754,184.8193524,18.69581435,38.84497193,0.017736255,1.385223097,0.017611053,0.011018083,287.4319,36.46576999,34.52645333,5.501928847,24.15109159,1.258534231,5.211086322,4.243394617,-33.70548874,-72.73298722,-12.14805386,168.8453702,1.558799676,0.852691059,1.977278091,391.6069717,388.6584788,0.042330604,60.85318178,0.764296797,11.35816956,12.40313576,-0.003098672,69.65,47,11,1.003737194,0.373719413,25246.56014,1500.01,1261.2234,0.840809995,0.191619989,6,0.5,0: Broadleaf,2,TRUE,1785427635,384.0528667,386.6079333,12.44136667,11.30151333,397.2590667,13.61946,441.5871333,101.0572,0.100033307,33.55252667,34.52645333,999.9,0,0,5000.874667,0,78.64576667,-2.555198,388.8911333,391.0272667,1.139840933,386.6079333,11.30151333,1.257288667,1.142100667,10.29772667,8.867284667,1500.01,0.973002667,0.02699718,0,2.03494,0,16867.45333,12843.98,44.40393333,46.18286667,45.27893333,44.9622,44.375,1459.51,40.5,0,1785427640,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-2.057639333,-11.29227787,1.218727732,0,1.191834,-1.104109792,0.114095001,0,0,2,0/2,3.01567,2.75934,0.0902144,0.0894431,0.071754,0.0639594,32155.9,23167.8,33471.6,25732.8,39763.8,32601,48902.9,40201.9,1.75723,2.63732,0.226952,0,30.8581,999.9,49.298,30.242,21.0734,29.4691,-100,3,0.337599,0,20.2439,5.20501,11.956,4.96945,3.294,9999,9999,7164.9,136.2,4.97366,1.87297,1.87074,1.87232,1.87286,1.87378,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,26.9,26.8,0.15625,4.99756,2.64526,2.75146,2.8479,2.28394,34.6692,15.8832,2,380.066,1233.12,31.5723,31.8314,30.0004,31.7242,31.6318,-1,40,10,-999.9,400,20,101.616,94.3563
15,1785427763,1686.1,20260731 00:09:23,00:09:23,15,,1785427755,0.000764264,0.764263805,1.109678366,397.7881839,273.6422677,27.68059333,40.23871401,0.0177155,1.384259521,0.017590504,0.011005222,287.4196133,36.64019142,34.72879333,5.564092779,25.05991928,1.318628176,5.261901132,4.245464603,-33.70403382,-74.83367563,-12.53059892,166.351305,-1.073480333,0.79507933,1.109678366,397.1169605,399.5468121,-0.724156565,60.85318178,0.764263805,11.8295365,12.95350303,-0.015606121,69.65,47,11,1.003743442,0.374344174,25204.58181,1499.945333,1261.16908,0.84081003,0.191620059,6,0.5,0: Broadleaf,2,TRUE,1785427755,397.8146,396.7898667,13.03557333,11.97197333,411.0209333,14.21367333,441.0021333,101.0562667,0.099865273,33.72604,34.72879333,999.9,0,0,4996.166667,0,45.90828667,1.02475,403.0688667,401.5987333,1.063612867,396.7898667,11.97197333,1.317327333,1.209842,10.99797333,9.722266,1499.945333,0.973001667,0.026998207,0,1.98568,0,16727.23333,12843.42667,44.5,46.25,45.375,45.04133333,44.4916,1459.445333,40.5,0,1785427760,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-1.689058571,58.66889143,6.520321942,0,1.007127286,1.203462312,0.138830544,0,0,2,0/2,3.01361,2.75945,0.0918024,0.0894649,0.0740201,0.0655753,32093.1,23162.8,33465,25728.2,39655,32537.5,48894.4,40196,1.75252,2.6353,0.230759,0,31.0086,999.9,49.902,30.454,21.5925,29.1691,-100,3,0.344929,0,20.244,5.20471,11.956,4.96975,3.294,9999,9999,7164.9,136.2,4.97364,1.87296,1.87074,1.87235,1.87286,1.87378,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,28.9,28.8,0.15625,4.99756,2.64526,2.75024,2.8479,2.20703,34.8066,15.8745,2,378.218,1232.32,31.6931,31.9286,30.0005,31.8241,31.7329,-1,40,10,-999.9,400,20,101.598,94.3414
16,1785427883,1806.1,20260731 00:11:23,00:11:23,15,,1785427875,0.000759167,0.759166605,1.655049681,386.9474689,210.3890306,21.28151857,39.14096529,0.017153488,1.384938171,0.017036325,0.010658163,287.4281333,36.871632,35.01197333,5.652117547,24.37907181,1.299452807,5.330198038,4.35266474,-33.47924726,-78.77184773,-13.21668962,161.9603487,1.968152771,0.662569457,1.655049681,394.6289967,392.3338424,0.004168166,60.85318178,0.759166605,11.91499547,12.89665576,0.005608708,69.65,46,10,1.003663404,0.366340375,25205.25704,1499.993333,1261.2091,0.840809804,0.191619607,6,0.5,0: Broadleaf,2,TRUE,1785427875,386.9868667,389.995,12.84638667,11.96236,400.1931333,14.02448667,442.2758667,101.0532,0.099975653,33.95696667,35.01197333,999.9,0,0,4999.666667,0,72.64867333,-3.008357333,392.0227333,394.717,0.884035067,389.995,11.96236,1.298169333,1.208833333,10.77759333,9.71065,1499.993333,0.973004,0.0269958,0,2.002446667,0,16589.68667,12843.84,44.625,46.40806667,45.5,45.14566667,44.5788,1459.503333,40.49,0,1785427880,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-2.864864762,0.570617143,0.656362298,0,0.888687286,0.272559117,0.076057329,0,0,2,0/2,3.01597,2.75944,0.0907355,0.0895449,0.0737826,0.0654775,32126.5,23158.6,33461,25726.2,39660.6,32537.8,48889.3,40193.4,1.7574,2.63217,0.227518,0,31.351,999.9,48.865,30.655,21.3905,29.1691,-100,3,0.349639,0,20.244,5.20486,11.956,4.96955,3.294,9999,9999,7164.9,136.3,4.97364,1.873,1.87075,1.87237,1.87286,1.87378,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,30.9,30.8,0.15625,4.99756,2.64526,2.75146,2.8479,2.29126,34.9444,15.8832,2,381.262,1229.52,31.8315,32.0043,30.0002,31.9047,31.8144,-1,40,10,-999.9,400,20,101.586,94.3347
17,1785428003,1926.1,20260731 00:13:23,00:13:23,15,,1785427995,0.000666371,0.666370542,1.7494479,388.0294522,179.8921359,18.19631668,39.24966901,0.014979614,1.385813776,0.014890239,0.009314385,287.4288933,37.00012065,35.10406,5.681001698,24.47605481,1.310709968,5.355070409,4.37029173,-29.38694092,-79.46616542,-13.33617573,165.2396113,0.833081023,0.681990586,1.7494479,394.8858782,392.5323152,-0.007695445,60.85318178,0.666370542,12.12708637,12.98213212,0.005576872,69.65,46,10,1.003660722,0.366072158,25223.65725,1499.997333,1261.21246,0.840809801,0.191619603,6,0.5,0: Broadleaf,2,TRUE,1785427995,388.0710667,389.5518667,12.95792,12.05071333,401.2775333,14.13602,443.5588667,101.0512667,0.099995913,34.04042667,35.10406,999.9,0,0,5004.083333,0,48.21514,-1.480805667,393.1658,394.3036667,0.907206267,389.5518667,12.05071333,1.309414,1.21774,10.90734667,9.819986,1499.997333,0.973003667,0.02699614,0,2.093793333,0,16450.38,12843.88,44.75,46.562,45.625,45.30373333,44.75,1459.507333,40.49,0,1785428000,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-0.756547238,-15.12470486,1.703454285,0,0.972865905,-1.159722234,0.120219038,0,0,2,0/2,3.01764,2.75952,0.0907662,0.0898801,0.0741836,0.0667327,32121.1,23146.8,33456.8,25722.8,39638.1,32489,48884.4,40189.1,1.76063,2.6315,0.220794,0,31.5456,999.9,48.681,30.867,21.5709,29.4091,-100,3,0.354952,0,20.2441,5.20276,11.956,4.9692,3.294,9999,9999,7164.9,136.3,4.97365,1.87295,1.87079,1.87234,1.87286,1.87378,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,32.9,32.8,0.15625,4.99756,2.64526,2.75024,2.8479,2.27539,35.1055,15.8832,2,383.408,1230.15,31.9687,32.0705,30.0005,31.9779,31.8919,-1,40,10,-999.9,400,20,101.575,94.3237
18,1785428123,2046.1,20260731 00:15:23,00:15:23,15,,1785428115,0.000606186,0.606185882,1.251045759,415.5692394,247.4832097,25.03300173,42.03495462,0.013887561,1.383971423,0.013810605,0.008638507,287.4238811,37.09377084,35.16444,5.700010208,26.36161999,1.416421859,5.373045584,4.283588349,-26.7327974,-79.38091424,-13.34744279,167.9627266,-1.070444132,0.625086482,1.251045759,417.4794839,418.7025212,-0.541331111,60.85318178,0.606185882,13.09792578,13.95435576,-0.007702721,69.65,46,10,1.003669169,0.366916881,25165.79868,1499.968,1261.188101,0.840810004,0.191620009,6,0.5,0: Broadleaf,2,TRUE,1785428115,415.5990667,414.5077333,14.00314,13.17248,428.8056667,15.18122667,443.5375333,101.0502667,0.100036667,34.10053333,35.16444,999.9,0,0,4995.042,0,68.07732,1.091466667,421.5015333,420.0410667,0.830666333,414.5077333,13.17248,1.415022,1.331081333,12.07955333,11.15426667,1499.968,0.973002333,0.026997527,0,1.954,0,16319.30667,12843.64,44.812,46.562,45.687,45.3288,44.812,1459.468,40.49933333,0,1785428120,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-0.152077,22.20166674,2.239246068,0,0.78068815,0.708415985,0.070440714,0,0,2,0/2,3.01836,2.75956,0.0950027,0.0925094,0.078212,0.0699268,31959.4,23071.3,33444.6,25713.7,39445.4,32364.5,48868.6,40176.8,1.7611,2.62742,0.230476,0,31.4357,999.9,50.922,31.048,22.7969,29.0191,-100,3,0.366547,0,20.2443,5.20411,11.956,4.9691,3.294,9999,9999,7164.9,136.3,4.97363,1.87298,1.87075,1.87229,1.87285,1.87378,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,34.9,34.8,0.15625,4.99756,2.64526,2.75024,2.8479,2.28149,35.2209,15.8832,2,384.367,1226.52,32.0826,32.1988,30.0005,32.093,31.9999,-1,40,10,-999.9,400,20,101.541,94.2931
19,1785428243,2166.1,20260731 00:17:23,00:17:23,15,,1785428235,0.000578063,0.578063169,1.406626334,393.1114498,197.2390803,19.94957049,39.76090624,0.012941163,1.385844707,0.0128744,0.00805247,287.4315533,37.27660307,35.33054667,5.75258849,25.27425934,1.371125687,5.424988597,4.381462803,-25.49258577,-78.99475256,-13.2864831,169.6577319,1.410443211,0.463077174,1.406626334,400.0711624,398.5322667,-0.071627022,60.85318178,0.578063169,12.98229314,13.66269758,0.014614292,69.65,45,10,1.003583415,0.358341508,25205.70612,1500.011333,1261.22422,0.840809794,0.191619588,6,0.5,0: Broadleaf,2,TRUE,1785428235,393.1449333,395.2918667,13.55616,12.94060667,406.3516,14.73426,443.6458667,101.0442667,0.099839553,34.27324667,35.33054667,999.9,0,0,5004.582667,0,59.18114667,-2.146637933,398.548,400.4740667,0.615560467,395.2918667,12.94060667,1.369774,1.307576,11.58693333,10.88607333,1500.011333,0.973004,0.0269958,0,2.04888,0,16186.25333,12844.00667,44.875,46.5788,45.75,45.3874,44.8372,1459.521333,40.49,0,1785428240,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-2.082842524,5.325429039,1.369034043,0,0.67182581,-0.546687818,0.107727958,0,0,2,0/2,3.01537,2.75905,0.0916313,0.0900219,0.0770213,0.0694747,32067.5,23128.2,33434,25707.3,39485.5,32370.8,48854.5,40167.5,1.75502,2.6249,0.238206,0,31.4909,999.9,49.481,31.229,22.3835,29.0491,-100,3,0.378006,0,20.2445,5.20441,11.956,4.969,3.294,9999,9999,7164.9,136.4,4.97367,1.873,1.87074,1.87236,1.87285,1.87377,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,36.9,36.8,0.15625,4.99756,2.64526,2.74902,2.8479,2.26562,35.3596,15.8482,2,381.95,1225.47,32.195,32.3419,30.0004,32.2223,32.1246,-1,40,10,-999.9,400,20,101.51,94.2706
20,1785428363,2286.1,20260731 00:19:23,00:19:23,15,,1785428355,0.000549191,0.549191338,1.541002788,385.357526,166.212938,16.81186232,38.9775775,0.012409484,1.385614323,0.012348071,0.007723036,287.4388667,37.14158582,35.16165333,5.699131709,25.233647,1.3574748,5.379621899,4.341656909,-24.21933799,-77.62753591,-13.03836228,172.5536305,1.437050144,0.481425467,1.541002788,392.8642775,390.6185758,0.025927902,60.85318178,0.549191338,12.80337702,13.48234182,0.008363394,69.65,46,10,1.003662512,0.36625124,25211.36887,1500.046667,1261.2542,0.840809975,0.19161995,6,0.5,0: Broadleaf,2,TRUE,1785428355,385.3942,387.5756667,13.42087333,12.78261333,398.6004667,14.59895333,444.8414667,101.0465333,0.099999093,34.12248,35.16165333,999.9,0,0,5003.333333,0,51.15714,-2.181518667,390.6367333,392.594,0.638246867,387.5756667,12.78261333,1.356134,1.291640667,11.43577333,10.70181333,1500.046667,0.973002333,0.026997527,0,1.981706667,0,16051.57333,12844.30667,44.8162,46.5,45.7416,45.333,44.812,1459.546667,40.5,0,1785428360,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-2.038660476,-2.781384935,0.338873474,0,0.664270238,-0.250867325,0.0607268,0,0,2,0/2,3.01884,2.75937,0.0903356,0.0892387,0.0762545,0.0695063,32115.3,23149.9,33436.2,25709.4,39522.1,32372.6,48857.9,40171.3,1.76042,2.6248,0.225924,0,31.5023,999.9,48.041,31.411,21.9561,29.1691,-100,3,0.376486,0,20.2442,5.20441,11.956,4.96925,3.29408,9999,9999,7164.9,136.4,4.97368,1.873,1.87079,1.87237,1.87286,1.87376,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,38.9,38.8,0.15625,4.99756,2.64526,2.75024,2.8479,2.24121,35.4986,15.8394,2,385.02,1226.15,32.2278,32.3482,29.9999,32.2574,32.1639,-1,40,10,-999.9,400,20,101.517,94.2791
21,1785428483,2406.1,20260731 00:21:23,00:21:23,15,,1785428475,0.000506901,0.506901,1.913862364,388.817893,102.9992486,10.41791281,39.32718893,0.011456384,1.385384783,0.011404012,0.007132193,287.43342,37.25844674,35.24086667,5.724149686,25.63316542,1.386324131,5.408322026,4.337825554,-22.35433411,-76.39774565,-12.84486727,175.836473,4.143449828,0.510053942,1.913862364,401.7418391,396.7366606,0.44074825,60.85318178,0.506901,13.06253681,13.73115636,0.001041891,69.65,45,10,1.003584661,0.358466138,25196.97401,1500.018,1261.23012,0.84080999,0.191619981,6,0.5,0: Broadleaf,2,TRUE,1785428475,388.8634667,394.7062667,13.70623333,13.0294,402.0698667,14.88433333,444.3408667,101.0455333,0.099989113,34.21798667,35.24086667,999.9,0,0,5002.25,0,76.46146,-5.84283,394.2674,399.9170667,0.6768498,394.7062667,13.0294,1.384955333,1.316561333,11.75388,10.98923333,1500.018,0.973000667,0.026999247,0,2.082206667,0,15916.08,12844.06,44.75,46.39566667,45.687,45.17046667,44.75,1459.518,40.5,0,1785428480,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-5.00248619,-18.64666442,1.979094654,0,0.657248714,0.18707626,0.046394226,0,0,2,0/2,3.01817,2.75936,0.0914898,0.0918166,0.0772969,0.0707643,32077.2,23086.3,33438.8,25711.3,39479.2,32331.5,48861.8,40174.8,1.7599,2.62353,0.234924,0,31.4491,999.9,48.01,31.572,22.1437,28.5991,-100,3,0.373425,0,20.2438,5.20366,11.956,4.96905,3.29405,9999,9999,7164.9,136.4,4.97366,1.87302,1.8708,1.87238,1.87286,1.87378,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,40.9,40.8,0.15625,4.99756,2.64526,2.74902,2.8479,2.25342,35.5683,15.8482,2,384.707,1224.43,32.2513,32.3251,30.0002,32.2517,32.1695,-1,40,10,-999.9,400,20,101.525,94.2868
22,1785428603,2526.1,20260731 00:23:23,00:23:23,15,,1785428595,0.000513438,0.513438255,1.41737665,407.8738199,193.2618823,19.54747691,41.25440558,0.011764807,1.386299255,0.01170962,0.007323449,287.4256933,37.23057864,35.19596,5.709955106,26.50332993,1.431562106,5.401442421,4.278393001,-22.64262704,-74.79994901,-12.56377934,177.4193379,-5.005728189,0.677159547,1.41737665,405.6176069,407.3177576,-0.671739274,60.85318178,0.513438255,13.22536473,14.02215879,-0.018120866,69.65,45,10,1.003580643,0.358064296,25225.15055,1499.977333,1261.19596,0.840810012,0.191620024,6,0.5,0: Broadleaf,2,TRUE,1785428595,407.9075333,401.5382,14.15356,13.25438,421.1140667,15.33165333,443.8439333,101.045,0.10001976,34.19513333,35.19596,999.9,0,0,5006.79,0,68.84143333,6.369281267,413.7641333,406.9320667,0.899183867,401.5382,13.25438,1.430145333,1.339288,12.24085333,11.24693333,1499.977333,0.972999,0.027001,0,2.0013,0,15808.74,12843.68,44.6746,46.42046667,45.625,44.9496,44.63326667,1459.477333,40.5,0,1785428600,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,8.37798595,-34.26189018,3.640396026,0,0.8728663,0.428602827,0.091998841,0,0,2,0/2,3.01782,2.75942,0.0930871,0.0921038,0.0784646,0.0717961,32017.7,23076.8,33435.6,25709,39424,32292.2,48857.7,40171.6,1.75942,2.62503,0.250753,0,31.142,999.9,48.468,31.743,22.5729,28.9892,-100,3,0.375879,0,20.2443,5.20456,11.956,4.96925,3.29402,9999,9999,7164.9,136.5,4.97366,1.87302,1.87082,1.87239,1.87286,1.87378,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,42.9,42.8,0.15625,4.99756,2.64526,2.75024,2.8479,2.26318,35.6613,15.8307,2,384.631,1227.18,32.2586,32.3509,30.0002,32.2802,32.1982,-1,40,10,-999.9,400,20,101.516,94.2789
