obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
28,1784647934,3211.1,20260721 23:32:14,23:32:14,15,,1784647926,0.001700371,1.700371497,2.903322296,452.6088889,327.4973686,33.11013931,45.75897337,0.046336584,1.384316332,0.045491864,0.028507027,287.4365533,36.49367432,34.64546,5.538417134,35.42459959,1.898522672,5.359334174,3.639894462,-74.98638304,-44.08916438,-7.391083788,160.9699221,4.059893582,1.752655985,2.903322296,466.6175057,462.3114121,0.043988,60.85483454,1.700371497,16.38688748,18.72808,-0.007027762,69.65,39,9,1.003107148,0.310714753,25181.41049,1500.031333,1261.24162,0.840810183,0.191620366,6,0.5,0: Broadleaf,2,TRUE,1784647926,452.6780667,459.3414667,18.77857333,16.41876,466.5398,18.93772,435.8772,101.0004667,0.100007687,34.0547,34.64546,999.9,0,0,4999.207333,0,82.69827333,-6.663314667,461.3414667,467.0090667,2.359804,459.3414667,16.41876,1.896646667,1.658304,16.60689333,14.51150667,1500.031333,0.972993667,0.027006573,0,1.96828,0,13168.21333,12844.13333,44.625,46.562,45.5704,45.29133333,44.687,1459.521333,40.51,0,1784647932,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-6.034504762,-3.302203636,1.750136636,0,2.340528571,0.263280779,0.034701185,0,0,2,0/2,3.01019,2.75942,0.101996,0.101342,0.0934696,0.0833289,31725.7,22847.2,33457.3,25713.2,38777.2,31899.6,48887.4,40186.2,1.76,2.62602,0.2384,0,30.7932,999.9,63.661,33.284,32.3589,29.1701,-100,3,0.352759,0,20.2451,5.20426,11.956,4.9692,3.294,7158.8,9999,9999,116.9,4.97371,1.87302,1.87088,1.87241,1.87286,1.87369,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.868,-0.1706,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,52.7,52.8,0.15625,4.99756,2.64526,2.7478,2.8479,2.28638,36.8604,15.3929,2,383.177,1222.75,32.1793,32.0721,30.0003,31.994,31.9149,-1,40,10,-999.9,400,20,101.58,94.3057
29,1784648054,3331.1,20260721 23:34:14,23:34:14,15,,1784648046,0.001599775,1.599774512,3.472332266,456.9163273,304.4989839,30.78412635,46.19315891,0.043483028,1.385714073,0.042738982,0.026777653,287.42718,36.55189135,34.68962667,5.552012368,35.57136747,1.907407009,5.36219759,3.644605359,-70.550056,-46.71753398,-7.825855861,162.3337342,0.814916084,1.670947343,3.472332266,470.0580752,464.3498727,0.152578827,60.85483454,1.599774512,16.62262067,18.82412061,-0.006133639,69.65,39,9,1.003102265,0.310226521,25220.91805,1499.982,1261.20018,0.84081021,0.191620419,6,0.5,0: Broadleaf,2,TRUE,1784648046,456.9989333,459.1704,18.86698,16.61527333,470.895,19.00880667,435.4707333,100.9976,0.100032427,34.06428,34.68962667,999.9,0,0,5006.25,0,98.42052,-2.1715456,465.7869333,466.9284667,2.251721333,459.1704,16.61527333,1.905517333,1.678100667,16.68033333,14.69528667,1499.982,0.972992333,0.027007947,0,1.937126667,0,13069.85333,12843.71333,44.687,46.687,45.687,45.2748,44.75,1459.472,40.51,0,1784648052,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-2.023969667,-23.31263595,4.036295093,0,2.245507143,-0.061022338,0.038512072,1,1,2,1/2,3.00998,2.7594,0.10235,0.101895,0.0937921,0.0845599,31711.2,22831.2,33455.4,25711,38761.2,31853.4,48885.3,40183.3,1.75922,2.62602,0.240412,0,30.7959,999.9,63.863,33.405,32.68,29.0801,-100,3,0.355226,0,20.2449,5.20456,11.956,4.9692,3.294,7158.8,9999,9999,116.9,4.97371,1.87302,1.87088,1.87241,1.87288,1.87375,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.886,-0.1501,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,54.7,54.8,0.15625,4.99756,2.64526,2.7478,2.8479,2.25708,36.9556,15.3841,2,382.975,1223.41,32.2301,32.1085,30.0001,32.0275,31.9469,-1,40,10,-999.9,400,20,101.575,94.2985
30,1784648174,3451.1,20260721 23:36:14,23:36:14,15,,1784648166,0.001575861,1.575861095,3.094388879,418.6290033,277.2301412,28.02727866,42.3223524,0.041809769,1.385494007,0.041121287,0.025761718,287.4261667,36.68937731,34.81335333,5.590252072,34.42136781,1.858696031,5.399831992,3.731556041,-69.4954743,-46.57765605,-7.813158427,163.5398779,5.797730777,1.621947719,3.094388879,435.728819,429.3240424,0.375842528,60.85483454,1.575861095,16.24353895,18.37490545,-0.000260865,69.65,38,9,1.003024479,0.302447925,25204.29276,1499.976667,1261.1957,0.840810213,0.191620425,6,0.5,0: Broadleaf,2,TRUE,1784648166,418.7026667,427.5956667,18.38518,16.19993333,432.2894,18.6205,435.8054,100.9975333,0.09998276,34.18978,34.81335333,999.9,0,0,5005.166667,0,105.7854667,-8.893071333,426.5446667,434.6368,2.185254,427.5956667,16.19993333,1.856858667,1.636152667,16.27382667,14.3035,1499.976667,0.972993667,0.027006567,0,1.983093333,0,12952.99333,12843.66,44.812,46.812,45.79133333,45.40393333,44.833,1459.466667,40.51,0,1784648172,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-8.374777143,-5.767316883,1.239032379,0,2.168441429,-0.026527013,0.060505883,1,1,2,1/2,3.00984,2.75947,0.0967214,0.0966335,0.092382,0.0834831,31906.5,22963.2,33452,25709.4,38820,31888.4,48880.6,40181,1.7588,2.6229,0.241064,0,30.9318,999.9,62.526,33.536,32.231,29.6801,-100,3,0.359136,0,20.2447,5.20112,11.956,4.9683,3.294,7158.8,9999,9999,117,4.9737,1.87302,1.87088,1.87241,1.87286,1.87372,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.614,-0.2356,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,56.7,56.8,0.155029,4.99756,2.64526,2.7478,2.8479,2.23877,37.0509,15.3841,2,382.995,1219.79,32.2945,32.1511,30.0005,32.0674,31.9885,-1,40,10,-999.9,400,20,101.565,94.293
31,1784648294,3571.1,20260721 23:38:14,23:38:14,15,,1784648286,0.00149481,1.494810349,3.560471459,453.9246985,286.9285581,29.00685095,45.88921422,0.039958752,1.384845912,0.039329098,0.024636432,287.4354133,36.7817524,34.87263333,5.60865448,35.25664223,1.909154331,5.415020291,3.699500149,-65.92113641,-47.21635882,-7.928245893,166.3696722,5.840807081,1.497479084,3.560471459,477.1953888,466.9583515,0.954611815,60.85483454,1.494810349,17.03206646,18.95674485,0.01443263,69.65,39,9,1.003107117,0.310711674,25181.65927,1500.025333,1261.23658,0.840810186,0.191620373,6,0.5,0: Broadleaf,2,TRUE,1784648286,454.0095333,462.9474,18.88488,16.87182667,467.8818,19.0232,436.5192667,100.9943333,0.09999878,34.24021333,34.87263333,999.9,0,0,5002.125333,0,103.6519333,-8.9377064,462.7487333,470.8930667,2.013057333,462.9474,16.87182667,1.907263333,1.703956667,16.69476,14.93206667,1500.025333,0.972994333,0.02700588,0,2.032873333,0,12840.19333,12844.08667,44.937,46.9916,45.90806667,45.6374,45,1459.515333,40.51,0,1784648292,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-5.4997169,-66.38378896,6.734539589,0,2.061409,-1.097793383,0.122111121,0,0,2,0/2,3.01064,2.75943,0.10281,0.103699,0.0942187,0.0858262,31684.5,22778.6,33445,25703.9,38731.8,31799.7,48871.7,40173.4,1.75933,2.62083,0.236388,0,31.0613,999.9,63.643,33.657,33.0308,29.2601,-100,3,0.366227,0,20.2445,5.20486,11.956,4.9696,3.294,7158.8,9999,9999,117,4.97371,1.87302,1.87088,1.87241,1.87288,1.87372,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.911,-0.1213,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,58.7,58.8,0.15625,4.99756,2.64526,2.74658,2.8479,2.229,37.1702,15.3666,2,383.722,1218.21,32.3779,32.2339,30.0003,32.1408,32.0565,-1,40,10,-999.9,400,20,101.545,94.2743
32,1784648414,3691.1,20260721 23:40:14,23:40:14,15,,1784648406,0.001569421,1.569421465,2.994926171,440.8461276,300.9841362,30.42714422,44.56609864,0.041503361,1.385457219,0.040824828,0.025575557,287.4307267,36.86903734,35.03584,5.659591349,35.18975713,1.918993874,5.453273993,3.740597475,-69.2114866,-49.98041781,-8.400523202,159.8382991,3.366878095,1.602542123,2.994926171,454.0465691,449.6485455,0.039841203,60.85483454,1.569421465,16.72673769,18.91702424,-0.012390922,69.65,38,9,1.003026329,0.30263287,25188.93636,1500.000667,1261.21586,0.8408102,0.191620399,6,0.5,0: Broadleaf,2,TRUE,1784648406,440.9174667,446.4918667,18.98261333,16.83247333,454.6845333,19.10168,437.3538,100.9922,0.0999858,34.36669333,35.03584,999.9,0,0,5005.249333,0,118.7867333,-5.574256,449.4492,454.1359333,2.150142,446.4918667,16.83247333,1.917098,1.699949333,16.77573333,14.89574,1500.000667,0.972995667,0.0270045,0,2.03982,0,12730.55333,12843.88667,45.062,47.05373333,46.00413333,45.7248,45.0998,1459.490667,40.51,0,1784648412,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-6.098631905,1.425051429,1.532787995,0,2.104304286,0.901351948,0.099437155,0,0,2,0/2,3.01124,2.75938,0.0999647,0.100103,0.0940081,0.0849513,31780.5,22867.2,33440.6,25701.2,38736.4,31826.6,48865.9,40169.7,1.76003,2.62098,0.237767,0,31.1818,999.9,63.142,33.798,33.0342,29.3501,-100,3,0.371197,0,20.2444,5.20097,11.956,4.96945,3.294,7158.8,9999,9999,117,4.97373,1.87302,1.87088,1.87241,1.87286,1.87371,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.773,-0.1336,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,60.7,60.8,0.15625,4.99756,2.64526,2.74902,2.8479,2.23633,37.2899,15.3316,2,384.46,1219.64,32.4555,32.2969,30.0004,32.2008,32.116,-1,40,10,-999.9,400,20,101.532,94.265
33,1784648534,3811.1,20260721 23:42:14,23:42:14,15,,1784648526,0.001557683,1.5576827,2.337855597,453.7816251,337.4337444,34.10905466,45.86993006,0.041198737,1.384165686,0.040529428,0.025390122,287.4303467,36.90891414,35.07006667,5.670324356,35.35446695,1.93141655,5.463005714,3.738907806,-68.69380708,-50.09600665,-8.430530838,160.2100021,0.992545657,1.567242129,2.337855597,459.4294221,459.8409091,-0.668869497,60.83482513,1.5576827,16.91904302,19.06277818,-0.007693251,69.65,39,9,1.003111096,0.311109578,25149.55213,1499.998667,1261.21418,0.840810201,0.191620401,6,0.5,0: Broadleaf,2,TRUE,1784648526,453.8374,456.1696667,19.1071,17.00563333,467.7082,19.20153333,437.5332667,100.9837333,0.099976373,34.39874667,35.07006667,999.9,0,0,4999.292,0,106.0307333,-2.3322426,462.6778,464.0616,2.101471333,456.1696667,17.00563333,1.929505333,1.717290667,16.8774,15.05349333,1499.998667,0.972996,0.027004133,0,2.071826667,0,12620.06667,12843.86,45.187,47.125,46.125,45.812,45.1996,1459.488667,40.51,0,1784648532,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-2.53411535,16.25256853,3.216519123,0,2.0919355,0.293595338,0.044373649,0,0,2,0/2,3.01174,2.75958,0.101453,0.10028,0.094425,0.0853347,31722.4,22858.7,33435.2,25697,38712.8,31807.8,48858.9,40164.1,1.76003,2.61873,0.232868,0,31.3015,999.9,63.319,33.929,33.3705,29.2001,-100,3,0.377566,0,20.2446,5.20471,11.956,4.9695,3.294,7158.8,9999,9999,117.1,4.97373,1.87302,1.87088,1.87241,1.87288,1.87371,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.846,-0.1056,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,62.7,62.8,0.15625,4.99756,2.64526,2.74658,2.8479,2.27539,37.4338,15.3316,2,384.92,1217.92,32.5323,32.3766,30.0003,32.2756,32.1889,-1,40,10,-999.9,400,20,101.517,94.2511
34,1784648654,3931.1,20260721 23:44:14,23:44:14,15,,1784648646,0.001455267,1.455267009,3.652496927,447.0473914,267.805938,27.07030366,45.18835068,0.037729519,1.384509133,0.037167494,0.023279482,287.4306456,37.09265326,35.22038667,5.717672349,34.6904667,1.909198488,5.503524943,3.808473862,-64.17727508,-51.40670395,-8.660905874,163.1857607,10.36098639,1.415447756,3.652496927,475.7160719,463.7381879,1.258880649,60.83482513,1.455267009,17.04808898,18.94678424,0.008726221,69.65,38,9,1.003031196,0.303119569,25148.61416,1500.000667,1261.215819,0.840810173,0.191620345,6,0.5,0: Broadleaf,2,TRUE,1784648646,447.1345333,462.1338,18.88766,16.99344,460.9516,19.02542,438.5242667,100.9818,0.099990307,34.53167333,35.22038667,999.9,0,0,5001.083333,0,109.148,-14.99938667,455.7425333,470.1232,1.894222667,462.1338,16.99344,1.907309333,1.716026667,16.69509333,15.0421,1500.000667,0.972996667,0.027003447,0,2.11982,0,12495.02667,12843.87333,45.30786667,47.25,46.25,45.8874,45.312,1459.492667,40.50866667,0,1784648652,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-13.8338,-18.98806208,2.560587723,0,1.942266667,-0.720586753,0.081545403,0,0,2,0/2,3.01244,2.75948,0.102309,0.102628,0.0941121,0.0859585,31685.1,22794.4,33428.1,25692.2,38720.1,31779.9,48849.7,40157.4,1.76063,2.61628,0.237618,0,31.382,999.9,62.904,34.07,33.4149,29.3801,-100,3,0.385462,0,20.2446,5.20441,11.956,4.96935,3.29402,7158.8,9999,9999,117.1,4.97373,1.87302,1.87088,1.87241,1.8729,1.87369,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.889,-0.124,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,64.7,64.8,0.15625,4.99756,2.64526,2.74658,2.8479,2.23755,37.554,15.3228,2,385.788,1216.22,32.6167,32.4703,30.0004,32.365,32.2769,-1,40,10,-999.9,400,20,101.497,94.2346
35,1784648774,4051.1,20260721 23:46:14,23:46:14,15,,1784648766,0.001626191,1.626191409,1.704671064,450.7344931,360.2387096,36.4120452,45.55913704,0.042406189,1.383968205,0.041697337,0.026123536,287.42506,37.09510955,35.31372,5.747243177,35.35636736,1.955432079,5.530636275,3.791811098,-71.71504112,-51.74973349,-8.729834581,155.2304508,-6.76975028,1.741634482,1.704671064,443.2470005,449.6137091,-1.598407138,60.83482513,1.626191409,16.76886031,19.14553394,-0.031654639,69.65,38,9,1.003033929,0.303392889,25126.02682,1499.974,1261.19316,0.840810014,0.191620028,6,0.5,0: Broadleaf,2,TRUE,1784648766,450.7752,442.629,19.34586,17.02026,464.6216,19.39260667,439.2861333,100.9775333,0.100013947,34.62014,35.31372,999.9,0,0,4998.624,0,121.0665333,8.146460667,459.6686667,450.2948,2.3256,442.629,17.02026,1.953497333,1.718663333,17.07215333,15.06490667,1499.974,0.972997,0.0270031,0,2.074106667,0,12388.78,12843.66,45.375,47.3624,46.3414,45.9958,45.38326667,1459.474,40.5,0,1784648772,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,6.830754286,28.21795013,3.176605212,0,2.264521429,1.362894545,0.141137369,0,0,2,0/2,3.0132,2.7593,0.0995548,0.0967288,0.0945518,0.0842495,31774.3,22939.5,33420.2,25687.5,38691.9,31833,48839.2,40150.6,1.76155,2.6156,0.236817,0,31.4823,999.9,62.502,34.211,33.4622,29.4401,-100,3,0.393755,0,20.2446,5.20426,11.956,4.9684,3.294,7158.8,9999,9999,117.1,4.97371,1.87302,1.87088,1.87241,1.87289,1.87369,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.757,-0.0945,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,66.7,66.8,0.15625,4.99756,2.64526,2.74536,2.8479,2.27539,37.6745,15.3053,2,386.863,1217.13,32.7038,32.5704,30.0004,32.4597,32.3683,-1,40,10,-999.9,400,20,101.474,94.2181
36,1784648894,4171.1,20260721 23:48:14,23:48:14,15,,1784648886,0.001466375,1.466375413,3.388302396,452.5957774,281.4791744,28.4505444,45.74617746,0.03718304,1.3840203,0.036636861,0.022946442,287.43386,37.36406208,35.55233333,5.823448075,34.58992639,1.933185191,5.588867604,3.890262885,-64.6671557,-55.47249784,-9.376980934,157.9172255,4.794176679,1.442890239,3.388302396,468.4713589,462.5973515,0.215760427,60.83482513,1.466375413,17.24353784,19.16370424,0.006389387,69.65,38,9,1.003035604,0.303560363,25112.20672,1500.018,1261.23034,0.840810137,0.191620274,6,0.5,0: Broadleaf,2,TRUE,1784648886,452.6767333,460.0804,19.12622,17.20346,466.5383333,19.21684667,440.2816,100.9751333,0.099997587,34.80888667,35.55233333,999.9,0,0,4999,0,92.3306,-7.4036106,461.5036,468.1336667,1.922748,460.0804,17.20346,1.931271333,1.737123333,16.89184,15.23214667,1500.018,0.972997,0.0270031,0,2.046326667,0,12250.53333,12844.01333,45.5,47.5,46.4916,46.0704,45.5,1459.510667,40.50733333,0,1784648892,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-6.180478048,-5.242625221,7.406146596,0,1.960459524,-0.582070909,0.071912508,0,0,2,0/2,3.01426,2.7595,0.101916,0.101169,0.0947171,0.0866647,31682.7,22820.7,33412,25681.1,38677,31740.1,48828.5,40141.5,1.76192,2.61058,0.242386,0,31.665,999.9,62.514,34.332,33.6951,29.0801,-100,3,0.403437,0,20.2447,5.20411,11.956,4.9692,3.294,7158.8,9999,9999,117.2,4.97373,1.87303,1.87088,1.87241,1.8729,1.87367,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.873,-0.0821,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,68.7,68.8,0.15625,4.99756,2.64526,2.74536,2.8479,2.28027,37.8195,15.2791,2,387.75,1212.17,32.8141,32.6877,30.0005,32.5714,32.4775,-1,40,10,-999.9,400,20,101.451,94.1959
37,1784649014,4291.1,20260721 23:50:14,23:50:14,15,,1784649006,0.001423176,1.423176254,2.863723736,437.5876763,284.5194563,28.75990039,44.23239853,0.035738276,1.384615752,0.03523362,0.02206576,287.4248067,37.44670348,35.5725,5.829928664,33.93521363,1.903131653,5.60813223,3.926797011,-62.76207278,-52.36863775,-8.852043231,163.4420529,1.987685447,1.515881178,2.863723736,452.0852112,446.2232667,0.351077362,60.83482513,1.423176254,16.91302283,18.80684485,0.000420686,69.65,38,9,1.003034182,0.303418214,25123.93601,1499.972667,1261.19204,0.840810015,0.19162003,6,0.5,0: Broadleaf,2,TRUE,1784649006,437.6560667,441.2483333,18.82753333,16.81383333,451.3969333,18.97707333,441.8002667,100.9823333,0.100034667,34.87095333,35.5725,999.9,0,0,5001.583333,0,85.24229333,-3.592253067,446.0543333,448.7946,2.013692667,441.2483333,16.81383333,1.901248,1.6979,16.64500667,14.87707333,1499.972667,0.972997667,0.02700242,0,2.110813333,0,12131.54,12843.63333,45.625,47.625,46.604,46.25,45.66633333,1459.472667,40.5,0,1784649012,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-1.77386095,-40.82709307,4.472610854,0,2.060971,-1.015856842,0.112080428,0,0,2,0/2,3.01613,2.75956,0.0993028,0.099885,0.0935808,0.0853977,31765.7,22848,33402.9,25675.7,38717.9,31777.5,48816.4,40133.8,1.76462,2.60803,0.229366,0,31.837,999.9,61.561,34.473,33.4395,29.3201,-100,3,0.412757,0,20.2442,5.20456,11.956,4.9689,3.294,7158.8,9999,9999,117.2,4.97375,1.87303,1.8709,1.87241,1.87288,1.87365,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.747,-0.1524,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,70.7,70.8,0.155029,4.99756,2.64526,2.74536,2.8479,2.23389,37.9164,15.2703,2,389.862,1210.69,32.9356,32.7997,30.0004,32.6793,32.5839,-1,40,10,-999.9,400,20,101.425,94.1773
38,1784649134,4411.1,20260721 23:52:14,23:52:14,15,,1784649126,0.001418627,1.418627364,1.449534727,442.1010561,350.6451809,35.44573097,44.69074709,0.035627043,1.384748964,0.035125546,0.021997936,287.4308867,37.43430045,35.51727333,5.812196391,33.63894058,1.884988737,5.603591268,3.927207654,-62.56146677,-49.34170449,-8.336753001,167.1909624,7.158125993,1.371969543,1.449534727,461.3209087,456.4092182,0.535682707,60.83482513,1.418627364,16.86071143,18.69923636,0.008403903,69.65,38,9,1.003033598,0.303359799,25128.75919,1500.004667,1261.21892,0.840809997,0.191619995,6,0.5,0: Broadleaf,2,TRUE,1784649126,442.1356667,452.6524667,18.64716,16.82410667,455.9125333,18.83191333,441.7545333,100.9872,0.099975593,34.85634,35.51727333,999.9,0,0,5002,0,62.04436667,-10.51663793,450.5371333,460.3983333,1.823036667,452.6524667,16.82410667,1.883128,1.699023333,16.49441333,14.88745333,1500.004667,0.972998,0.02700206,0,2.007366667,0,12010.09333,12843.93333,45.625,47.562,46.6082,46.25413333,45.687,1459.504667,40.5,0,1784649132,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-10.16982614,16.56340761,6.221205353,0,1.832959524,-0.120541558,0.036454675,0,0,2,0/2,3.01573,2.75958,0.100722,0.0993155,0.0932088,0.08472,31712.6,22861.1,33400.1,25674.5,38732.1,31799.4,48812.7,40132.2,1.7635,2.60687,0.234898,0,31.6909,999.9,60.75,34.583,33.2036,28.9601,-100,3,0.41672,0,20.2443,5.20441,11.956,4.96935,3.294,7158.8,9999,9999,117.2,4.97375,1.87303,1.87088,1.87241,1.87287,1.87366,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.816,-0.1746,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,72.7,72.8,0.155029,4.99756,2.64526,2.74536,2.8479,2.27539,38.0134,15.2528,2,389.681,1210.46,32.9746,32.8617,30.0002,32.7477,32.6529,-1,40,10,-999.9,400,20,101.417,94.1731
